,Phil Angelides,Arnold Schwarzenegger*,Edward C. Noonan,Peter Miguel Camejo,Art Olivier,Janice Jordan,"Donald ""Dr. Don"" Etkes","James
Harris",Vibert Greene,"Robert C. Newman, II",Elisha Shapiro,Dealphria Christina Tarver
,DEM,REP,AI,GRN,LIB,PF,IND (W/I),IND (W/I),IND (W/I),REP (W/I),IND (W/I),IND (W/I)
,,,,,,,,,,,,
Monterey,"35,769","46,882",829,"2,646",928,852,0,0,0,0,0,0
  Percent,40.7%,53.4%,0.9%,3.1%,1.0%,0.9%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,
Napa,"16,504","23,187",352,"1,559",520,366,0,0,0,0,0,0
  Percent,38.9%,54.6%,0.8%,3.7%,1.2%,0.8%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,
Nevada,"11,833","28,570",183,"1,982",461,236,0,0,1,0,2,0
  Percent,27.4%,66.1%,0.4%,4.6%,1.0%,0.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,
Orange,"185,388","507,413","4,825","9,646","15,328","5,419",2,1,2,5,1,1
  Percent,25.5%,69.7%,0.6%,1.3%,2.2%,0.7%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,
Placer,"26,723","91,972",770,"2,501","1,098",588,0,0,0,0,0,0
  Percent,21.7%,74.4%,0.6%,2.1%,0.8%,0.4%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,
Plumas,"2,194","6,160",107,232,97,70,0,0,0,0,0,0
  Percent,24.8%,69.6%,1.2%,2.7%,1.0%,0.7%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,
Riverside,"115,803","251,962","3,327","4,314","6,224","3,070",0,0,0,43,1,0
  Percent,30.1%,65.5%,0.8%,1.2%,1.7%,0.7%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,
Sacramento,"123,685","218,889","2,754","11,170","2,942","2,636",5,0,0,8,6,0
  Percent,34.2%,60.5%,0.7%,3.1%,0.8%,0.7%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,
San Benito,"5,400","8,208",151,335,159,126,0,0,0,0,0,0
  Percent,37.6%,57.1%,1.0%,2.4%,1.1%,0.8%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,
San Bernardino,"114,388","212,200","3,278","4,387","6,455","3,539",0,0,0,54,0,0
  Percent,33.3%,61.7%,0.9%,1.2%,1.9%,1.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,
San Diego,"234,938","509,059","4,732","13,653","9,444","5,425",7,9,2,32,3,1
  Percent,30.3%,65.5%,0.6%,1.8%,1.2%,0.6%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,
San Francisco,"153,335","72,722",913,"13,186","2,390","1,911",2,7,1,0,1,0
  Percent,62.8%,29.8%,0.3%,5.4%,1.0%,0.7%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,
San Joaquin,"49,868","83,952","1,007","2,026","1,138","1,174",1,0,0,2,0,0
  Percent,35.9%,60.4%,0.7%,1.4%,0.8%,0.8%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,
San Luis Obispo,"30,568","61,842",660,"2,319","1,135",764,0,0,0,4,0,0
  Percent,31.5%,63.6%,0.6%,2.4%,1.2%,0.7%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,
San Mateo,"97,092","96,478",975,"6,822","2,048","1,335",4,4,2,4,0,0
  Percent,47.5%,47.2%,0.4%,3.3%,1.0%,0.6%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,
Santa Barbara,"42,880","73,677",654,"3,149","1,365","1,054",0,0,0,2,0,0
  Percent,35.0%,60.1%,0.5%,2.5%,1.1%,0.8%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,
Santa Clara,"185,037","225,132","2,559","10,932","5,034","2,942",4,1,1,12,1,0
  Percent,42.9%,52.2%,0.5%,2.6%,1.2%,0.6%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,
Santa Cruz,"43,619","37,866",587,"6,156","1,154",801,1,1,1,0,3,0
  Percent,48.4%,42.0%,0.6%,6.9%,1.3%,0.8%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,
Shasta,"12,434","43,436",655,808,802,627,0,1,0,0,0,0
  Percent,21.2%,74.0%,1.1%,1.4%,1.3%,1.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,
Sierra,353,"1,131",13,62,34,9,0,0,0,0,0,0
  Percent,22.1%,70.6%,0.8%,3.9%,2.1%,0.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,
Siskiyou,"4,615","10,916",222,383,321,173,0,0,0,1,0,0
  Percent,27.8%,65.7%,1.3%,2.3%,1.9%,1.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,
Solano,"43,501","55,130",835,"2,194","1,092",973,0,0,0,1,0,0
  Percent,42.0%,53.2%,0.8%,2.1%,1.0%,0.9%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,
Sonoma,"77,392","81,608","1,404","8,647","2,360","2,099",1,0,0,3,0,0
  Percent,44.7%,47.1%,0.8%,4.9%,1.3%,1.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,
Stanislaus,"31,981","67,427",954,"1,589",937,974,1,0,0,9,0,0
  Percent,30.8%,65.0%,0.9%,1.5%,0.9%,0.9%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,
Sutter,"5,487","17,393",218,357,249,209,0,0,0,0,0,0
  Percent,23.0%,72.8%,0.9%,1.5%,1.0%,0.8%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,
Tehama,"3,666","13,442",241,217,248,191,0,0,0,0,0,0
  Percent,20.4%,74.7%,1.3%,1.2%,1.4%,1.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,
Trinity,"1,614","3,819",37,243,113,85,0,0,0,0,0,0
  Percent,27.3%,64.7%,0.6%,4.1%,1.9%,1.4%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,
Tulare,"17,571","48,607",757,801,535,458,0,0,0,1,0,0
  Percent,25.6%,70.8%,1.1%,1.2%,0.7%,0.6%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,
Tuolumne,"5,105","14,836",216,569,234,180,0,0,0,0,1,0
  Percent,24.2%,70.2%,1.0%,2.7%,1.1%,0.8%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,
Ventura,"75,790","134,862","1,680","3,329","3,773","1,525",1,1,0,3,1,0
