,Akinyemi Agbede,Delaine Eastin,Albert Caesar Mezzetti,Thomas Jefferson Cares,Klement Tinaj,J. Bribiesca,John Chiang,Gavin Newsom,Michael Shellenberger,Antonio Villaraigosa,Amanda Renteria,Robert Davidson Griffis,Yvonne Girard,"Robert C. Newman, II",John H. Cox,"Peter Y
 Liu",Travis Allen,Christopher N. Carlson,"Josh
 Jones",Nickolas Wildstar,Zoltan Istvan,"Gloria Estela 
La Riva",Desmond Silveira,Jeffrey Edward Taylor,Johnny Wattenburg,Shubham Goel,"Hakan ""Hawk"" Mikado","K. 
Pearce",Veronika Fimbres,Peter Crawford Valentino,Arman Soltani,"Armando M.
Arreola"
,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,REP,REP,REP,REP,REP,GRN,GRN,LIB,LIB,PF,NPP,NPP,NPP,NPP,NPP,REP (W/I),GRN (W/I),NPP (W/I),NPP (W/I),NPP (W/I)
Shasta,52,"1,348",68,46,17,198,"2,063","7,822",310,"1,817",860,104,295,361,"20,435",396,"9,170",58,168,102,120,141,32,31,85,12,45,0,0,0,0,0
  Percent,0.1%,2.9%,0.1%,0.1%,0.0%,0.4%,4.5%,16.9%,0.7%,3.9%,1.9%,0.2%,0.6%,0.8%,44.3%,0.9%,19.9%,0.1%,0.4%,0.2%,0.3%,0.3%,0.1%,0.1%,0.2%,0.0%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sierra,3,39,3,2,1,6,104,336,9,55,28,1,19,11,515,21,258,6,8,18,8,7,2,0,2,1,5,0,0,0,0,0
  Percent,0.2%,2.7%,0.2%,0.1%,0.1%,0.4%,7.1%,22.9%,0.6%,3.7%,1.9%,0.1%,1.3%,0.7%,35.1%,1.4%,17.6%,0.4%,0.5%,1.2%,0.5%,0.5%,0.1%,0.0%,0.1%,0.1%,0.3%,0.0%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Siskiyou,10,530,13,17,3,88,577,"2,688",118,397,285,32,99,104,"3,968",129,"2,134",26,90,36,52,50,14,10,34,2,10,0,0,0,0,0
  Percent,0.1%,4.6%,0.1%,0.1%,0.0%,0.8%,5.0%,23.3%,1.0%,3.4%,2.5%,0.3%,0.9%,0.9%,34.5%,1.1%,18.5%,0.2%,0.8%,0.3%,0.5%,0.4%,0.1%,0.1%,0.3%,0.0%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solano,111,"2,469",87,125,39,115,"5,715","34,396",550,"7,357","1,015",73,254,458,"19,296",225,"9,334",100,177,125,159,201,69,46,78,15,52,0,0,0,1,0
  Percent,0.1%,3.0%,0.1%,0.2%,0.0%,0.1%,6.9%,41.6%,0.7%,8.9%,1.2%,0.1%,0.3%,0.6%,23.3%,0.3%,11.3%,0.1%,0.2%,0.2%,0.2%,0.2%,0.1%,0.1%,0.1%,0.0%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sonoma,237,"5,205",219,86,44,469,"6,482","71,593",742,"11,638","1,676",165,346,711,"21,526",707,"7,188",220,408,322,269,476,113,34,154,35,107,0,0,2,0,0
  Percent,0.2%,4.0%,0.2%,0.1%,0.0%,0.4%,4.9%,54.6%,0.6%,8.9%,1.3%,0.1%,0.3%,0.5%,16.4%,0.5%,5.5%,0.2%,0.3%,0.2%,0.2%,0.4%,0.1%,0.0%,0.1%,0.0%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stanislaus,70,"2,593",158,177,59,233,"6,467","20,523",574,"10,890","1,369",86,295,920,"27,895",222,"14,415",99,201,226,126,261,128,132,61,50,82,0,2,0,0,1
  Percent,0.1%,2.9%,0.2%,0.2%,0.1%,0.3%,7.3%,23.2%,0.6%,12.3%,1.6%,0.1%,0.3%,1.0%,31.6%,0.3%,16.3%,0.1%,0.2%,0.3%,0.1%,0.3%,0.1%,0.1%,0.1%,0.1%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sutter,33,303,24,67,12,81,"1,679","3,348",104,"1,692",229,137,110,120,"8,165",214,"3,544",28,33,35,27,126,31,13,37,198,26,0,0,0,1,0
  Percent,0.2%,1.5%,0.1%,0.3%,0.1%,0.4%,8.2%,16.4%,0.5%,8.3%,1.1%,0.7%,0.5%,0.6%,40.0%,1.0%,17.4%,0.1%,0.2%,0.2%,0.1%,0.6%,0.2%,0.1%,0.2%,1.0%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tehama,14,366,24,36,5,27,683,"1,908",101,650,213,60,123,104,"6,558",175,"3,114",15,32,30,24,85,14,15,37,3,16,1,0,0,0,0
  Percent,0.1%,2.5%,0.2%,0.2%,0.0%,0.2%,4.7%,13.2%,0.7%,4.5%,1.5%,0.4%,0.9%,0.7%,45.4%,1.2%,21.6%,0.1%,0.2%,0.2%,0.2%,0.6%,0.1%,0.1%,0.3%,0.0%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinity,5,217,7,16,2,45,223,967,43,194,102,7,37,27,"1,283",41,733,20,38,14,28,22,4,4,6,4,3,0,0,0,0,0
  Percent,0.1%,5.3%,0.2%,0.4%,0.0%,1.1%,5.4%,23.6%,1.1%,4.7%,2.5%,0.2%,0.9%,0.7%,31.4%,1.0%,17.9%,0.5%,0.9%,0.3%,0.7%,0.5%,0.1%,0.1%,0.1%,0.1%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tulare,57,708,43,31,7,163,"2,941","7,786",92,"9,191","1,043",81,192,"1,069","20,484",175,"11,466",12,127,71,67,179,42,21,62,22,17,0,0,0,2,0
  Percent,0.1%,1.3%,0.1%,0.1%,0.0%,0.3%,5.2%,13.9%,0.2%,16.4%,1.9%,0.1%,0.3%,1.9%,36.5%,0.3%,20.4%,0.0%,0.2%,0.1%,0.1%,0.3%,0.1%,0.0%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuolumne,13,474,18,25,0,22,876,"4,208",82,915,219,20,160,75,"5,955",59,"2,535",19,40,40,39,32,17,7,16,4,10,0,0,0,0,0
  Percent,0.1%,3.0%,0.1%,0.2%,0.0%,0.1%,5.5%,26.5%,0.5%,5.8%,1.4%,0.1%,1.0%,0.5%,37.5%,0.4%,16.0%,0.1%,0.3%,0.3%,0.2%,0.2%,0.1%,0.0%,0.1%,0.0%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ventura,166,"4,228",187,376,76,210,"18,202","44,314",689,"22,350","2,339",100,414,"1,016","54,140",450,"15,120",131,307,281,355,273,119,70,135,56,116,0,0,0,1,0
  Percent,0.1%,2.5%,0.1%,0.2%,0.0%,0.1%,11.0%,26.7%,0.4%,13.4%,1.4%,0.1%,0.2%,0.6%,32.6%,0.3%,9.1%,0.1%,0.2%,0.2%,0.2%,0.2%,0.1%,0.0%,0.1%,0.0%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yolo,102,"3,507",25,31,12,84,"6,773","14,663",280,"6,374",597,199,146,112,"9,245",295,"3,267",49,173,101,104,136,35,6,31,22,19,0,0,0,0,0
  Percent,0.2%,7.6%,0.1%,0.1%,0.0%,0.2%,14.6%,31.6%,0.6%,13.7%,1.3%,0.4%,0.3%,0.2%,19.9%,0.6%,7.0%,0.1%,0.4%,0.2%,0.2%,0.3%,0.1%,0.0%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yuba,13,230,9,15,9,22,785,"1,949",64,913,130,32,69,71,"4,725",142,"2,522",18,19,40,26,86,12,8,18,8,6,0,0,0,0,0
  Percent,0.1%,1.9%,0.1%,0.1%,0.1%,0.2%,6.6%,16.3%,0.5%,7.6%,1.1%,0.3%,0.6%,0.6%,39.6%,1.2%,21.1%,0.2%,0.2%,0.3%,0.2%,0.7%,0.1%,0.1%,0.2%,0.1%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State Totals,"9,380","234,869","12,026","8,937","5,368","17,586","655,920","2,343,792","31,692","926,394","93,446","11,103","21,840","44,674","1,766,488","27,336","658,798","7,302","16,131","11,566","14,462","19,075","4,633","3,973","4,973","4,020","5,346",8,62,21,32,1
  Percent,0.1%,3.4%,0.2%,0.1%,0.1%,0.3%,9.4%,33.7%,0.5%,13.3%,1.3%,0.2%,0.3%,0.6%,25.4%,0.4%,9.5%,0.1%,0.2%,0.2%,0.2%,0.3%,0.1%,0.1%,0.1%,0.1%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
