"","County","Candidate","Party","Votes","PercentageOfTotalVotes","TotalCountyVotes","Year"
"2218","Columbia","Darrell L. Castle ","Constitution Party",15,0.6874,2182,2016
"2219","Columbia","Gary Johnson ","Libertarian Party",109,4.9954,2182,2016
"2220","Cowlitz","Hillary Clinton ","Democratic Party",17908,39.1929,45692,2016
"2221","Cowlitz","Donald J. Trump ","Republican Party",24185,52.9305,45692,2016
"2222","Cowlitz","Alyson Kennedy ","Socialist Workers Party",84,0.1838,45692,2016
"2223","Cowlitz","Gloria Estela La Riva ","Socialism &amp; Liberation Party",58,0.1269,45692,2016
"2224","Cowlitz","Jill Stein ","Green Party",787,1.7224,45692,2016
"2225","Cowlitz","Darrell L. Castle ","Constitution Party",327,0.7157,45692,2016
"2226","Cowlitz","Gary Johnson ","Libertarian Party",2343,5.1278,45692,2016
"2227","Douglas","Hillary Clinton ","Democratic Party",4918,31.6413,15543,2016
"2228","Douglas","Donald J. Trump ","Republican Party",9603,61.7834,15543,2016
"2229","Douglas","Alyson Kennedy ","Socialist Workers Party",28,0.1801,15543,2016
"2230","Douglas","Gloria Estela La Riva ","Socialism &amp; Liberation Party",18,0.1158,15543,2016
"2231","Douglas","Jill Stein ","Green Party",185,1.1902,15543,2016
"2232","Douglas","Darrell L. Castle ","Constitution Party",77,0.4954,15543,2016
"2233","Douglas","Gary Johnson ","Libertarian Party",714,4.5937,15543,2016
"2234","Ferry","Hillary Clinton ","Democratic Party",1098,30.4915,3601,2016
"2235","Ferry","Donald J. Trump ","Republican Party",2202,61.1497,3601,2016
"2236","Ferry","Alyson Kennedy ","Socialist Workers Party",5,0.1389,3601,2016
"2237","Ferry","Gloria Estela La Riva ","Socialism &amp; Liberation Party",0,0,3601,2016
"2238","Ferry","Jill Stein ","Green Party",58,1.6107,3601,2016
"2239","Ferry","Darrell L. Castle ","Constitution Party",47,1.3052,3601,2016
"2240","Ferry","Gary Johnson ","Libertarian Party",191,5.3041,3601,2016
"2241","Franklin","Hillary Clinton ","Democratic Party",8886,37.4621,23720,2016
"2242","Franklin","Donald J. Trump ","Republican Party",13206,55.6745,23720,2016
"2243","Franklin","Alyson Kennedy ","Socialist Workers Party",46,0.1939,23720,2016
"2244","Franklin","Gloria Estela La Riva ","Socialism &amp; Liberation Party",34,0.1433,23720,2016
"2245","Franklin","Jill Stein ","Green Party",225,0.9486,23720,2016
"2246","Franklin","Darrell L. Castle ","Constitution Party",175,0.7378,23720,2016
"2247","Franklin","Gary Johnson ","Libertarian Party",1148,4.8398,23720,2016
"2248","Garfield","Hillary Clinton ","Democratic Party",279,22.3917,1246,2016
"2249","Garfield","Donald J. Trump ","Republican Party",851,68.2986,1246,2016
"2250","Garfield","Alyson Kennedy ","Socialist Workers Party",3,0.2408,1246,2016
"2251","Garfield","Gloria Estela La Riva ","Socialism &amp; Liberation Party",2,0.1605,1246,2016
"2252","Garfield","Jill Stein ","Green Party",14,1.1236,1246,2016
"2253","Garfield","Darrell L. Castle ","Constitution Party",9,0.7223,1246,2016
"2254","Garfield","Gary Johnson ","Libertarian Party",88,7.0626,1246,2016
"2255","Grant","Hillary Clinton ","Democratic Party",7810,27.5524,28346,2016
"2256","Grant","Donald J. Trump ","Republican Party",18518,65.3284,28346,2016
"2257","Grant","Alyson Kennedy ","Socialist Workers Party",47,0.1658,28346,2016
"2258","Grant","Gloria Estela La Riva ","Socialism &amp; Liberation Party",45,0.1588,28346,2016
"2259","Grant","Jill Stein ","Green Party",291,1.0266,28346,2016
"2260","Grant","Darrell L. Castle ","Constitution Party",248,0.8749,28346,2016
"2261","Grant","Gary Johnson ","Libertarian Party",1387,4.8931,28346,2016
"2262","Grays Harbor","Hillary Clinton ","Democratic Party",12020,42.3732,28367,2016
"2263","Grays Harbor","Donald J. Trump ","Republican Party",14067,49.5893,28367,2016
"2264","Grays Harbor","Alyson Kennedy ","Socialist Workers Party",53,0.1868,28367,2016
"2265","Grays Harbor","Gloria Estela La Riva ","Socialism &amp; Liberation Party",30,0.1058,28367,2016
"2266","Grays Harbor","Jill Stein ","Green Party",568,2.0023,28367,2016
"2267","Grays Harbor","Darrell L. Castle ","Constitution Party",186,0.6557,28367,2016
"2268","Grays Harbor","Gary Johnson ","Libertarian Party",1443,5.0869,28367,2016
"2269","Island","Hillary Clinton ","Democratic Party",20960,48.8852,42876,2016
"2270","Island","Donald J. Trump ","Republican Party",18465,43.0661,42876,2016
"2271","Island","Alyson Kennedy ","Socialist Workers Party",48,0.112,42876,2016
"2272","Island","Gloria Estela La Riva ","Socialism &amp; Liberation Party",39,0.091,42876,2016
"2273","Island","Jill Stein ","Green Party",807,1.8822,42876,2016
"2274","Island","Darrell L. Castle ","Constitution Party",238,0.5551,42876,2016
"2275","Island","Gary Johnson ","Libertarian Party",2319,5.4086,42876,2016
"2276","Jefferson","Hillary Clinton ","Democratic Party",12656,62.4186,20276,2016
"2277","Jefferson","Donald J. Trump ","Republican Party",6037,29.7741,20276,2016
"2278","Jefferson","Alyson Kennedy ","Socialist Workers Party",34,0.1677,20276,2016
"2279","Jefferson","Gloria Estela La Riva ","Socialism &amp; Liberation Party",22,0.1085,20276,2016
"2280","Jefferson","Jill Stein ","Green Party",706,3.4819,20276,2016
"2281","Jefferson","Darrell L. Castle ","Constitution Party",75,0.3699,20276,2016
"2282","Jefferson","Gary Johnson ","Libertarian Party",746,3.6792,20276,2016
"2283","King","Hillary Clinton ","Democratic Party",718322,71.9402,998499,2016
"2284","King","Donald J. Trump ","Republican Party",216339,21.6664,998499,2016
"2285","King","Alyson Kennedy ","Socialist Workers Party",1109,0.1111,998499,2016
"2286","King","Gloria Estela La Riva ","Socialism &amp; Liberation Party",1072,0.1074,998499,2016
"2287","King","Jill Stein ","Green Party",17704,1.7731,998499,2016
"2288","King","Darrell L. Castle ","Constitution Party",3092,0.3097,998499,2016
"2289","King","Gary Johnson ","Libertarian Party",40861,4.0922,998499,2016
"2290","Kitsap","Hillary Clinton ","Democratic Party",63156,50.8024,124317,2016
"2291","Kitsap","Donald J. Trump ","Republican Party",49018,39.4298,124317,2016
"2292","Kitsap","Alyson Kennedy ","Socialist Workers Party",165,0.1327,124317,2016
"2293","Kitsap","Gloria Estela La Riva ","Socialism &amp; Liberation Party",128,0.103,124317,2016
"2294","Kitsap","Jill Stein ","Green Party",2397,1.9281,124317,2016
"2295","Kitsap","Darrell L. Castle ","Constitution Party",857,0.6894,124317,2016
"2296","Kitsap","Gary Johnson ","Libertarian Party",8596,6.9146,124317,2016
"2297","Kittitas","Hillary Clinton ","Democratic Party",7489,39.5094,18955,2016
"2298","Kittitas","Donald J. Trump ","Republican Party",10100,53.2841,18955,2016
"2299","Kittitas","Alyson Kennedy ","Socialist Workers Party",29,0.153,18955,2016
"2300","Kittitas","Gloria Estela La Riva ","Socialism &amp; Liberation Party",19,0.1002,18955,2016
"2301","Kittitas","Jill Stein ","Green Party",315,1.6618,18955,2016
"2302","Kittitas","Darrell L. Castle ","Constitution Party",95,0.5012,18955,2016
"2303","Kittitas","Gary Johnson ","Libertarian Party",908,4.7903,18955,2016
"2304","Klickitat","Hillary Clinton ","Democratic Party",4194,38.9451,10769,2016
"2305","Klickitat","Donald J. Trump ","Republican Party",5789,53.7562,10769,2016
"2306","Klickitat","Alyson Kennedy ","Socialist Workers Party",19,0.1764,10769,2016
"2307","Klickitat","Gloria Estela La Riva ","Socialism &amp; Liberation Party",12,0.1114,10769,2016
"2308","Klickitat","Jill Stein ","Green Party",217,2.015,10769,2016
"2309","Klickitat","Darrell L. Castle ","Constitution Party",75,0.6964,10769,2016
"2310","Klickitat","Gary Johnson ","Libertarian Party",463,4.2994,10769,2016
"2311","Lewis","Hillary Clinton ","Democratic Party",9654,28.2702,34149,2016
"2312","Lewis","Donald J. Trump ","Republican Party",21992,64.4001,34149,2016
"2313","Lewis","Alyson Kennedy ","Socialist Workers Party",63,0.1845,34149,2016
"2314","Lewis","Gloria Estela La Riva ","Socialism &amp; Liberation Party",33,0.0966,34149,2016
"2315","Lewis","Jill Stein ","Green Party",514,1.5052,34149,2016
"2316","Lewis","Darrell L. Castle ","Constitution Party",229,0.6706,34149,2016
"2317","Lewis","Gary Johnson ","Libertarian Party",1664,4.8728,34149,2016
"2318","Lincoln","Hillary Clinton ","Democratic Party",1244,21.7749,5713,2016
"2319","Lincoln","Donald J. Trump ","Republican Party",4108,71.9062,5713,2016
"2320","Lincoln","Alyson Kennedy ","Socialist Workers Party",11,0.1925,5713,2016
"2321","Lincoln","Gloria Estela La Riva ","Socialism &amp; Liberation Party",5,0.0875,5713,2016
"2322","Lincoln","Jill Stein ","Green Party",50,0.8752,5713,2016
"2323","Lincoln","Darrell L. Castle ","Constitution Party",43,0.7527,5713,2016
"2324","Lincoln","Gary Johnson ","Libertarian Party",252,4.411,5713,2016
"2325","Mason","Hillary Clinton ","Democratic Party",11993,42.7208,28073,2016
"2326","Mason","Donald J. Trump ","Republican Party",13677,48.7194,28073,2016
"2327","Mason","Alyson Kennedy ","Socialist Workers Party",40,0.1425,28073,2016
"2328","Mason","Gloria Estela La Riva ","Socialism &amp; Liberation Party",36,0.1282,28073,2016
"2329","Mason","Jill Stein ","Green Party",556,1.9806,28073,2016
"2330","Mason","Darrell L. Castle ","Constitution Party",211,0.7516,28073,2016
"2331","Mason","Gary Johnson ","Libertarian Party",1560,5.5569,28073,2016
"2332","Okanogan","Hillary Clinton ","Democratic Party",6298,36.8498,17091,2016
"2333","Okanogan","Donald J. Trump ","Republican Party",9610,56.2284,17091,2016
"2334","Okanogan","Alyson Kennedy ","Socialist Workers Party",21,0.1229,17091,2016
"2335","Okanogan","Gloria Estela La Riva ","Socialism &amp; Liberation Party",19,0.1112,17091,2016
"2336","Okanogan","Jill Stein ","Green Party",291,1.7027,17091,2016
"2337","Okanogan","Darrell L. Castle ","Constitution Party",139,0.8133,17091,2016
"2338","Okanogan","Gary Johnson ","Libertarian Party",713,4.1718,17091,2016
"2339","Pacific","Hillary Clinton ","Democratic Party",4620,43.1131,10716,2016
"2340","Pacific","Donald J. Trump ","Republican Party",5360,50.0187,10716,2016
"2341","Pacific","Alyson Kennedy ","Socialist Workers Party",22,0.2053,10716,2016
"2342","Pacific","Gloria Estela La Riva ","Socialism &amp; Liberation Party",17,0.1586,10716,2016
"2343","Pacific","Jill Stein ","Green Party",200,1.8664,10716,2016
"2344","Pacific","Darrell L. Castle ","Constitution Party",61,0.5692,10716,2016
"2345","Pacific","Gary Johnson ","Libertarian Party",436,4.0687,10716,2016
"2346","Pend Oreille","Hillary Clinton ","Democratic Party",1934,28.4328,6802,2016
"2347","Pend Oreille","Donald J. Trump ","Republican Party",4373,64.2899,6802,2016
"2348","Pend Oreille","Alyson Kennedy ","Socialist Workers Party",10,0.147,6802,2016
"2349","Pend Oreille","Gloria Estela La Riva ","Socialism &amp; Liberation Party",9,0.1323,6802,2016
"2350","Pend Oreille","Jill Stein ","Green Party",99,1.4555,6802,2016
"2351","Pend Oreille","Darrell L. Castle ","Constitution Party",54,0.7939,6802,2016
"2352","Pend Oreille","Gary Johnson ","Libertarian Party",323,4.7486,6802,2016
"2353","Pierce","Hillary Clinton ","Democratic Party",172538,49.5109,348485,2016
"2354","Pierce","Donald J. Trump ","Republican Party",146824,42.1321,348485,2016
"2355","Pierce","Alyson Kennedy ","Socialist Workers Party",539,0.1547,348485,2016
"2356","Pierce","Gloria Estela La Riva ","Socialism &amp; Liberation Party",410,0.1177,348485,2016
"2357","Pierce","Jill Stein ","Green Party",6144,1.7631,348485,2016
"2358","Pierce","Darrell L. Castle ","Constitution Party",2121,0.6086,348485,2016
"2359","Pierce","Gary Johnson ","Libertarian Party",19909,5.713,348485,2016
"2360","San Juan","Hillary Clinton ","Democratic Party",7172,66.5677,10774,2016
"2361","San Juan","Donald J. Trump ","Republican Party",2688,24.949,10774,2016
"2362","San Juan","Alyson Kennedy ","Socialist Workers Party",11,0.1021,10774,2016
"2363","San Juan","Gloria Estela La Riva ","Socialism &amp; Liberation Party",11,0.1021,10774,2016
"2364","San Juan","Jill Stein ","Green Party",467,4.3345,10774,2016
"2365","San Juan","Darrell L. Castle ","Constitution Party",23,0.2135,10774,2016
"2366","San Juan","Gary Johnson ","Libertarian Party",402,3.7312,10774,2016
"2367","Skagit","Hillary Clinton ","Democratic Party",26690,47.688,55968,2016
"2368","Skagit","Donald J. Trump ","Republican Party",24736,44.1967,55968,2016
"2369","Skagit","Alyson Kennedy ","Socialist Workers Party",73,0.1304,55968,2016
"2370","Skagit","Gloria Estela La Riva ","Socialism &amp; Liberation Party",68,0.1215,55968,2016
"2371","Skagit","Jill Stein ","Green Party",1006,1.7975,55968,2016
"2372","Skagit","Darrell L. Castle ","Constitution Party",305,0.545,55968,2016
"2373","Skagit","Gary Johnson ","Libertarian Party",3090,5.521,55968,2016
"2374","Skamania","Hillary Clinton ","Democratic Party",2232,39.5815,5639,2016
"2375","Skamania","Donald J. Trump ","Republican Party",2928,51.9241,5639,2016
"2376","Skamania","Alyson Kennedy ","Socialist Workers Party",13,0.2305,5639,2016
"2377","Skamania","Gloria Estela La Riva ","Socialism &amp; Liberation Party",4,0.0709,5639,2016
"2378","Skamania","Jill Stein ","Green Party",139,2.465,5639,2016
"2379","Skamania","Darrell L. Castle ","Constitution Party",38,0.6739,5639,2016
"2380","Skamania","Gary Johnson ","Libertarian Party",285,5.0541,5639,2016
"2381","Snohomish","Hillary Clinton ","Democratic Party",185227,54.1326,342173,2016
"2382","Snohomish","Donald J. Trump ","Republican Party",128255,37.4825,342173,2016
"2383","Snohomish","Alyson Kennedy ","Socialist Workers Party",474,0.1385,342173,2016
"2384","Snohomish","Gloria Estela La Riva ","Socialism &amp; Liberation Party",358,0.1046,342173,2016
"2385","Snohomish","Jill Stein ","Green Party",6396,1.8692,342173,2016
"2386","Snohomish","Darrell L. Castle ","Constitution Party",2116,0.6184,342173,2016
"2387","Snohomish","Gary Johnson ","Libertarian Party",19347,5.6542,342173,2016
"2388","Spokane","Hillary Clinton ","Democratic Party",93767,41.2623,227246,2016
"2389","Spokane","Donald J. Trump ","Republican Party",113435,49.9173,227246,2016
"2390","Spokane","Alyson Kennedy ","Socialist Workers Party",346,0.1523,227246,2016
"2391","Spokane","Gloria Estela La Riva ","Socialism &amp; Liberation Party",243,0.1069,227246,2016
"2392","Spokane","Jill Stein ","Green Party",4185,1.8416,227246,2016
"2393","Spokane","Darrell L. Castle ","Constitution Party",2043,0.899,227246,2016
"2394","Spokane","Gary Johnson ","Libertarian Party",13227,5.8206,227246,2016
"2395","Stevens","Hillary Clinton ","Democratic Party",5767,25.4311,22677,2016
"2396","Stevens","Donald J. Trump ","Republican Party",15161,66.8563,22677,2016
"2397","Stevens","Alyson Kennedy ","Socialist Workers Party",31,0.1367,22677,2016
"2398","Stevens","Gloria Estela La Riva ","Socialism &amp; Liberation Party",23,0.1014,22677,2016
"2399","Stevens","Jill Stein ","Green Party",307,1.3538,22677,2016
"2400","Stevens","Darrell L. Castle ","Constitution Party",254,1.1201,22677,2016
"2401","Stevens","Gary Johnson ","Libertarian Party",1134,5.0007,22677,2016
"2402","Thurston","Hillary Clinton ","Democratic Party",68798,53.1628,129410,2016
"2403","Thurston","Donald J. Trump ","Republican Party",48624,37.5736,129410,2016
"2404","Thurston","Alyson Kennedy ","Socialist Workers Party",203,0.1569,129410,2016
"2405","Thurston","Gloria Estela La Riva ","Socialism &amp; Liberation Party",187,0.1445,129410,2016
"2406","Thurston","Jill Stein ","Green Party",3584,2.7695,129410,2016
"2407","Thurston","Darrell L. Castle ","Constitution Party",708,0.5471,129410,2016
"2408","Thurston","Gary Johnson ","Libertarian Party",7306,5.6456,129410,2016
"2409","Wahkiakum","Hillary Clinton ","Democratic Party",832,35.2841,2358,2016
"2410","Wahkiakum","Donald J. Trump ","Republican Party",1344,56.9975,2358,2016
"2411","Wahkiakum","Alyson Kennedy ","Socialist Workers Party",2,0.0848,2358,2016
"2412","Wahkiakum","Gloria Estela La Riva ","Socialism &amp; Liberation Party",1,0.0424,2358,2016
"2413","Wahkiakum","Jill Stein ","Green Party",50,2.1204,2358,2016
"2414","Wahkiakum","Darrell L. Castle ","Constitution Party",18,0.7634,2358,2016
"2415","Wahkiakum","Gary Johnson ","Libertarian Party",111,4.7074,2358,2016
"2416","Walla Walla","Hillary Clinton ","Democratic Party",9694,38.1368,25419,2016
"2417","Walla Walla","Donald J. Trump ","Republican Party",13651,53.7039,25419,2016
"2418","Walla Walla","Alyson Kennedy ","Socialist Workers Party",41,0.1613,25419,2016
"2419","Walla Walla","Gloria Estela La Riva ","Socialism &amp; Liberation Party",28,0.1102,25419,2016
"2420","Walla Walla","Jill Stein ","Green Party",386,1.5185,25419,2016
"2421","Walla Walla","Darrell L. Castle ","Constitution Party",184,0.7239,25419,2016
"2422","Walla Walla","Gary Johnson ","Libertarian Party",1435,5.6454,25419,2016
"2423","Whatcom","Hillary Clinton ","Democratic Party",60340,55.0181,109673,2016
"2424","Whatcom","Donald J. Trump ","Republican Party",40599,37.0182,109673,2016
"2425","Whatcom","Alyson Kennedy ","Socialist Workers Party",120,0.1094,109673,2016
"2426","Whatcom","Gloria Estela La Riva ","Socialism &amp; Liberation Party",151,0.1377,109673,2016
"2427","Whatcom","Jill Stein ","Green Party",3005,2.74,109673,2016
"2428","Whatcom","Darrell L. Castle ","Constitution Party",621,0.5662,109673,2016
"2429","Whatcom","Gary Johnson ","Libertarian Party",4837,4.4104,109673,2016
"2430","Whitman","Hillary Clinton ","Democratic Party",8146,47.0731,17305,2016
"2431","Whitman","Donald J. Trump ","Republican Party",7403,42.7795,17305,2016
"2432","Whitman","Alyson Kennedy ","Socialist Workers Party",24,0.1387,17305,2016
"2433","Whitman","Gloria Estela La Riva ","Socialism &amp; Liberation Party",23,0.1329,17305,2016
"2434","Whitman","Jill Stein ","Green Party",317,1.8318,17305,2016
"2435","Whitman","Darrell L. Castle ","Constitution Party",165,0.9535,17305,2016
"2436","Whitman","Gary Johnson ","Libertarian Party",1227,7.0904,17305,2016
"2437","Yakima","Hillary Clinton ","Democratic Party",31291,40.2457,77750,2016
"2438","Yakima","Donald J. Trump ","Republican Party",41735,53.6785,77750,2016
"2439","Yakima","Alyson Kennedy ","Socialist Workers Party",120,0.1543,77750,2016
"2440","Yakima","Gloria Estela La Riva ","Socialism &amp; Liberation Party",111,0.1428,77750,2016
"2441","Yakima","Jill Stein ","Green Party",774,0.9955,77750,2016
"2442","Yakima","Darrell L. Castle ","Constitution Party",458,0.5891,77750,2016
"2443","Yakima","Gary Johnson ","Libertarian Party",3261,4.1942,77750,2016
