"","County","Candidate","Party","Votes","PercentageOfTotalVotes","TotalCountyVotes","Year"
"2013","Klickitat","Gary Johnson ","Libertarian Party",147,1.4308,10274,2012
"2014","Klickitat","Virgil Goode ","Constitution Party",53,0.5159,10274,2012
"2015","Klickitat","Jill Stein ","Green Party",121,1.1777,10274,2012
"2016","Klickitat","Peta Lindsay ","Socialism & Liberation Party",5,0.0487,10274,2012
"2017","Klickitat","James Harris ","Socialist Workers Party",7,0.0681,10274,2012
"2018","Klickitat","Ross C. (Rocky) Anderson ","Justice Party",27,0.2628,10274,2012
"2019","Lewis","Barack Obama ","Democratic Party",12664,37.1989,34044,2012
"2020","Lewis","Mitt Romney ","Republican Party",20452,60.0752,34044,2012
"2021","Lewis","Gary Johnson ","Libertarian Party",508,1.4922,34044,2012
"2022","Lewis","Virgil Goode ","Constitution Party",149,0.4377,34044,2012
"2023","Lewis","Jill Stein ","Green Party",172,0.5052,34044,2012
"2024","Lewis","Peta Lindsay ","Socialism & Liberation Party",18,0.0529,34044,2012
"2025","Lewis","James Harris ","Socialist Workers Party",25,0.0734,34044,2012
"2026","Lewis","Ross C. (Rocky) Anderson ","Justice Party",56,0.1645,34044,2012
"2027","Lincoln","Barack Obama ","Democratic Party",1673,28.4911,5872,2012
"2028","Lincoln","Mitt Romney ","Republican Party",4063,69.1928,5872,2012
"2029","Lincoln","Gary Johnson ","Libertarian Party",66,1.124,5872,2012
"2030","Lincoln","Virgil Goode ","Constitution Party",24,0.4087,5872,2012
"2031","Lincoln","Jill Stein ","Green Party",36,0.6131,5872,2012
"2032","Lincoln","Peta Lindsay ","Socialism & Liberation Party",1,0.017,5872,2012
"2033","Lincoln","James Harris ","Socialist Workers Party",3,0.0511,5872,2012
"2034","Lincoln","Ross C. (Rocky) Anderson ","Justice Party",6,0.1022,5872,2012
"2035","Mason","Barack Obama ","Democratic Party",14764,52.2897,28235,2012
"2036","Mason","Mitt Romney ","Republican Party",12761,45.1957,28235,2012
