,year,prim_or_gen,county,eligible,registered,dem,rep,ind,lib,np
463,2012,gen,San Mateo,479562,361486,185331,70346,7679,10,91994
464,2012,gen,Santa Barbara,276452,203994,84569,62692,5208,2,46014
465,2012,gen,Santa Clara,1122390,817837,373066,178554,16883,31,236758
466,2012,gen,Santa Cruz,183151,158524,85917,26383,3661,4,36000
467,2012,gen,Shasta,133808,100235,26640,46802,3694,1,21194
468,2012,gen,Sierra,2548,2326,660,986,132,0,446
469,2012,gen,Siskiyou,34444,25868,8387,10602,1124,1,5166
470,2012,gen,Solano,274284,209484,101815,52777,5887,12,45581
471,2012,gen,Sonoma,339309,260315,134234,56567,6491,3,55010
472,2012,gen,Stanislaus,322964,232909,93348,90738,6384,12,37476
473,2012,gen,Sutter,59275,42194,13726,18890,1337,0,7263
474,2012,gen,Tehama,43306,31174,9435,13802,1548,0,5817
475,2012,gen,Trinity,11343,8046,2702,2770,381,0,1840
476,2012,gen,Tulare,252258,145348,49151,63809,4858,12,25599
477,2012,gen,Tuolumne,39259,31769,10249,13482,1273,1,6110
478,2012,gen,Ventura,534607,426948,164592,155312,10691,13,84852
479,2012,gen,Yolo,137680,102186,48257,24617,2805,3,24022
480,2012,gen,Yuba,47074,30115,9508,11797,1409,2,6599
483,2000,gen,Alameda,975078,669918,380412,137117,10802,13077,112323
484,2000,gen,Alpine,961,771,270,310,23,7,143
485,2000,gen,Amador,22950,18856,7565,8402,496,124,1777
486,2000,gen,Butte,150823,113576,42375,48187,3156,1953,16020
487,2000,gen,Calaveras,29891,24791,9363,11062,617,217,2873
488,2000,gen,Colusa,10592,7504,3086,3338,196,13,785
489,2000,gen,Contra Costa,654096,494954,244315,159872,8803,4002,53917
490,2000,gen,Del Norte,16203,12773,5090,4818,457,99,2040
491,2000,gen,El Dorado,112606,94278,32366,43821,2399,927,12775
492,2000,gen,Fresno,473145,329115,141706,141960,6502,1266,33596
493,2000,gen,Glenn,17182,11622,4373,5349,308,29,1435
494,2000,gen,Humboldt,94261,77830,32965,23501,2009,5259,12432
495,2000,gen,Imperial,67416,50030,26365,14507,1133,95,7001
496,2000,gen,Inyo,13403,10285,3582,4939,298,75,1217
497,2000,gen,Kern,404558,271730,101343,129343,7534,635,28720
498,2000,gen,Kings,70177,44912,18444,19722,1119,81,4962
499,2000,gen,Lake,42793,30854,14513,10413,898,377,4055
500,2000,gen,Lassen,14941,13539,4888,5850,564,49,1931
501,2000,gen,Los Angeles,5367115,4075037,2168085,1132380,71567,24014,578522
502,2000,gen,Madera,65284,46495,17674,21853,1120,174,4966
503,2000,gen,Marin,185298,146152,73364,39271,2399,4046,24695
504,2000,gen,Mariposa,12348,10671,3779,4877,283,121,1374
505,2000,gen,Mendocino,60856,49145,22917,13565,1266,2499,7587
506,2000,gen,Merced,111478,83309,42598,29270,1827,225,8484
507,2000,gen,Modoc,7009,5442,2039,2532,171,21,609
508,2000,gen,Mono,7728,6017,1906,2595,199,105,1088
509,2000,gen,Monterey,243613,160342,77567,52574,3281,1523,22369
510,2000,gen,Napa,91966,67277,31615,23177,1453,754,8926
511,2000,gen,Nevada,70889,59725,19411,27124,1331,1643,8892
512,2000,gen,Orange,1786038,1342746,431695,660561,26224,5552,190950
513,2000,gen,Placer,174942,145509,47901,71422,3063,1082,19798
514,2000,gen,Plumas,15360,12789,4853,5546,425,89,1644
515,2000,gen,Riverside,1007246,634126,232668,298522,14575,1940,70260
516,2000,gen,Sacramento,849372,611014,282516,216954,13862,5046,81222
517,2000,gen,San Benito,31009,26534,12510,9284,637,132,3480
518,2000,gen,San Bernardino,1088398,691548,294504,281088,18087,2292,80935
519,2000,gen,San Diego,1975413,1411672,510319,578391,34040,8812,234736
520,2000,gen,San Francisco,533153,486636,273531,66108,8877,13216,115167
521,2000,gen,San Joaquin,345257,233989,108090,100073,3710,675,15175
522,2000,gen,San Luis Obispo,178707,142633,51472,62002,3388,2170,19460
523,2010,gen,Alameda,1006632,765885,435127,120303,14212,9803,169020
524,2010,gen,Alpine,893,733,280,245,28,12,162
525,2010,gen,Amador,26094,21354,7077,9750,734,125,3431
526,2010,gen,Butte,160298,115737,40168,45402,3671,1460,22498
527,2010,gen,Calaveras,34881,28740,9288,12324,1161,289,5103
528,2010,gen,Colusa,12073,7867,2763,3631,146,12,1270
529,2010,gen,Contra Costa,712085,533825,265842,140211,12488,3473,105168
530,2010,gen,Del Norte,18124,12441,4560,4672,509,104,2334
531,2010,gen,El Dorado,129238,107925,32579,48475,3633,912,20415
532,2010,gen,Fresno,548699,391572,160522,160383,9046,1605,44444
533,2010,gen,Glenn,17659,12264,3832,5618,443,46,2199
534,2010,gen,Humboldt,99924,77755,33113,20862,2378,3008,17248
535,2010,gen,Imperial,93890,54957,28404,14654,1186,122,9952
536,2010,gen,Inyo,13019,9406,3036,4167,346,86,1651
537,2010,gen,Kern,484611,311585,110028,137375,9528,785,51053
538,2010,gen,Kings,81007,49116,17757,22278,1267,114,7140
539,2010,gen,Lake,46603,32551,13983,9550,1279,393,6932
540,2010,gen,Lassen,18050,14291,3837,6834,706,56,2702
541,2010,gen,Los Angeles,5823294,4449415,2286987,1049383,91591,23075,916168
542,2010,gen,Madera,84767,54817,19337,24709,1387,223,8553
543,2010,gen,Marin,183477,151876,82944,29337,2847,2196,33148
544,2010,gen,Mariposa,14079,11367,3532,5106,482,120,1897
545,2010,gen,Mendocino,62228,48614,22947,10930,1570,1918,10383
546,2010,gen,Merced,141339,95844,44344,33300,2547,673,14253
547,2010,gen,Modoc,6994,5471,1464,2694,247,19,990
548,2010,gen,Mono,9512,6286,2035,2320,240,64,1557
549,2010,gen,Monterey,238281,160221,85641,40882,3369,1063,28020
550,2010,gen,Napa,92914,69872,32978,19708,1941,742,13618
551,2010,gen,Nevada,74144,61411,20668,24591,1965,1112,12291
552,2010,gen,Orange,1890794,1621934,517750,700330,38818,7529,335284
553,2010,gen,Placer,248397,202876,58609,97840,4153,1301,38652
554,2010,gen,Plumas,15445,13055,4226,5635,569,91,2405
555,2010,gen,Riverside,1304845,857839,311312,359171,23571,2650,147237
556,2010,gen,Sacramento,941477,678923,298258,229226,17722,4167,122218
557,2010,gen,San Benito,34692,25352,12214,7692,612,131,4251
558,2010,gen,San Bernardino,1234760,806163,314517,310070,25699,2889,144232
559,2010,gen,San Diego,2099557,1442161,518080,523060,40554,7231,334514
560,2010,gen,San Francisco,620651,461768,259808,44003,7878,8585,136651
561,2010,gen,San Joaquin,415708,269777,115082,105115,6363,759,39167
562,2010,gen,San Luis Obispo,196365,156504,54715,62425,3645,1511,29928
563,2010,gen,San Mateo,488810,346516,179392,71936,6991,2603,82458
564,2010,gen,Santa Barbara,280517,198457,84094,63792,4705,1644,40395
565,2010,gen,Santa Clara,1139951,779330,357539,186168,15420,4362,208233
566,2010,gen,Santa Cruz,182864,148501,81423,26310,3097,3176,23694
567,2010,gen,Shasta,133134,96463,27435,45580,3173,485,18601
568,2010,gen,Sierra,2479,2298,669,979,115,29,441
569,2010,gen,Siskiyou,33881,25919,8777,10617,1064,190,4915
570,2010,gen,Solano,274565,196133,97140,51318,5039,804,39747
571,2010,gen,Sonoma,339466,248273,129434,56468,5438,4501,49382
572,2010,gen,Stanislaus,324720,229109,99385,84263,5470,728,35171
573,2010,gen,Sutter,62506,40140,13398,18577,1188,121,6381
574,2010,gen,Tehama,43354,31163,9795,13815,1520,138,5448
575,2010,gen,Trinity,10650,7642,2710,2716,333,111,1559
576,2010,gen,Tulare,248522,149667,51697,68080,4199,494,23855
577,2010,gen,Tuolumne,38476,31891,10657,13595,1206,252,5802
578,2010,gen,Ventura,532050,423994,168581,156744,9767,2455,78011
579,2010,gen,Yolo,132225,102160,48882,25175,2477,1142,22614
580,2010,gen,Yuba,46029,28677,9588,11481,1299,146,5850
583,2006,gen,San Francisco,577544,418285,227671,45672,6651,12276,121015
584,2006,gen,San Joaquin,403713,270356,114720,109754,4988,937,35900
585,2006,gen,San Luis Obispo,188646,155495,54540,65055,3550,2133,26881
586,2006,gen,San Mateo,467057,350427,173182,85707,6496,3669,77698
587,2006,gen,Santa Barbara,271983,183890,74270,65329,3727,2389,34666
588,2006,gen,Santa Clara,1073613,749866,336665,201242,13587,5949,183616
589,2006,gen,Santa Cruz,175568,142415,75530,28851,2557,4654,27829
590,2006,gen,Shasta,131343,89409,26924,43972,2442,529,14515
591,2006,gen,Sierra,2622,2219,690,950,77,25,417
592,2006,gen,Siskiyou,33995,24968,8863,10562,766,231,4171
593,2006,gen,Solano,269946,163235,79355,47538,3252,888,30258
594,2006,gen,Sonoma,328374,234891,117856,60402,4711,6265,41939
595,2006,gen,Stanislaus,316963,207162,83332,87509,4466,824,27489
596,2006,gen,Sutter,57580,39071,12604,19345,899,125,4867
597,2006,gen,Tehama,42388,29422,9797,13329,1168,130,4546
598,2006,gen,Trinity,10772,7899,2839,3086,267,138,1349
599,2006,gen,Tulare,234448,134923,46205,64804,3070,557,19089
600,2006,gen,Tuolumne,39694,32251,11697,14103,940,300,4781
601,2006,gen,Ventura,513847,391077,148879,155757,7819,3072,68730
602,2006,gen,Yolo,124485,90695,41870,24966,1832,1631,18666
603,2006,gen,Yuba,44769,26657,9053,11335,999,168,4813
606,2006,prim,Alameda,959650,691207,382114,121154,11258,13516,150780
607,2006,prim,Alpine,932,793,281,286,23,15,180
608,2006,prim,Amador,26029,19961,6964,9305,604,151,2595
609,2006,prim,Butte,156835,115855,39990,47725,3129,2229,20560
610,2006,prim,Calaveras,34991,26894,9184,12065,752,316,4064
611,2006,prim,Colusa,11698,8106,2904,3787,190,23,1122
612,2006,prim,Contra Costa,679565,489263,236135,145135,9211,4313,87285
613,2006,prim,Del Norte,17494,12192,4467,4799,367,116,2193
614,2006,prim,Fresno,513980,325611,129322,146976,5546,1622,37321
615,2006,prim,El Dorado,125160,99171,30562,46407,2524,1036,16996
616,2006,prim,Glenn,17155,11853,3890,5607,312,46,1884
617,2006,prim,Humboldt,98938,79036,32625,23018,1877,4293,15904
618,2006,prim,Imperial,83428,53764,29827,14255,973,117,7878
619,2006,prim,Inyo,13295,10731,3459,4892,292,111,1801
620,2006,prim,Kern,448693,286967,100354,139016,7304,776,36912
621,2006,prim,Kings,73144,44226,16849,20861,872,111,4977
622,2006,prim,Lake,46717,32005,13929,10279,965,442,5965
623,2006,prim,Lassen,16663,14171,4169,6580,597,64,2568
624,2006,prim,Los Angeles,5691552,3839483,1929931,1023730,64142,25400,722496
625,2006,prim,Madera,78839,36497,12551,18439,656,172,4339
626,2006,prim,Marin,177567,147529,76003,33745,2673,3579,29842
627,2006,prim,Mariposa,14144,11328,3653,5312,322,158,1617
628,2006,prim,Mendocino,62153,47943,22094,12025,1245,2357,9259
629,2006,prim,Merced,134871,91648,41136,38413,1692,306,9509
630,2006,prim,Modoc,6992,5707,1745,2791,178,29,908
631,2006,prim,Mono,9477,6488,2038,2527,191,114,1535
632,2006,prim,Monterey,228616,152590,73133,47476,2966,1422,26092
633,2006,prim,Napa,89691,66507,30612,21009,1577,923,10796
634,2006,prim,Nevada,75296,63575,20367,27510,1606,1632,11541
635,2006,prim,Orange,1825116,1476210,441239,712188,29065,7940,264528
636,2006,prim,Placer,225696,175433,50285,90996,3424,1268,27616
637,2006,prim,Plumas,16328,13430,4462,5850,470,121,2370
638,2006,prim,Riverside,1190171,745818,257473,342810,16694,2741,115063
639,2006,prim,Sacramento,901196,620191,264930,215155,14142,5738,110636
640,2006,prim,San Benito,34109,25023,11289,8478,582,160,4218
641,2006,prim,San Bernardino,1186697,748385,283484,316627,18566,3006,115726
642,2006,prim,San Diego,1984298,1356018,466175,538100,30822,9460,289139
643,2006,prim,San Francisco,575791,421094,228662,47062,6850,12662,120730
645,2000,prim,Ventura,481341,367096,141704,154161,6850,12662,120730
646,2000,prim,Yolo,110681,75200,38372,22227,6850,12662,120730
647,2000,prim,Yuba,39262,23213,9513,9443,6850,12662,120730
651,2016,prim,Alameda,1065162,833803,480475,106675,15842,6438,211690
652,2016,prim,Alpine,950,717,273,222,29,8,176
653,2016,prim,Amador,28117,21266,6625,9735,880,113,3580
654,2016,prim,Butte,168838,124771,43269,44541,4186,920,28668
655,2016,prim,Calaveras,36122,27532,8308,11889,1217,167,5273
656,2016,prim,Colusa,12479,8019,2681,3459,200,19,1596
657,2016,prim,Contra Costa,740367,556570,281016,127968,13949,2418,125788
658,2016,prim,Del Norte,18073,13585,4454,4921,624,86,3156
659,2016,prim,El Dorado,136827,109479,32659,47243,4167,597,22392
660,2016,prim,Fresno,580678,414976,163039,153585,10855,1183,78512
661,2016,prim,Glenn,18440,12195,3559,5382,474,34,2588
662,2016,prim,Humboldt,105117,79037,35938,19064,2496,1858,18435
663,2016,prim,Imperial,97235,63185,31299,13016,1482,129,16296
664,2016,prim,Inyo,13760,9697,3050,4075,402,51,1951
665,2016,prim,Kern,505400,340603,122260,132638,11138,673,70172
666,2016,prim,Kings,79835,48504,16834,21737,1204,80,8117
667,2016,prim,Lake,48604,32796,13001,8979,1290,310,8669
668,2016,prim,Lassen,16785,13434,2997,6681,707,38,2789
669,2016,prim,Los Angeles,6199606,4909904,2542149,962807,104668,18635,1182231
670,2016,prim,Madera,87117,54017,17897,22673,1638,143,10967
671,2016,prim,Marin,181022,151874,85576,26459,3063,1299,33936
672,2016,prim,Mariposa,14962,10519,3137,4711,440,77,1857
673,2016,prim,Mendocino,63670,48935,23833,10200,1627,1162,11267
674,2016,prim,Merced,154443,92296,41476,28635,2713,320,18269
675,2016,prim,Modoc,7386,5076,1210,2575,244,20,966
676,2016,prim,Mono,9424,5883,2063,1974,243,36,1493
677,2016,prim,Monterey,241516,174674,88026,40883,4073,907,39063
678,2016,prim,Napa,93331,72461,34291,18334,2118,591,16011
679,2016,prim,Nevada,77440,66149,24474,23286,2312,870,14213
680,2016,prim,Orange,2000797,1395380,467491,557789,34176,3896,314120
681,2016,prim,Placer,262922,210913,60319,96377,5157,768,44234
682,2016,prim,Plumas,16056,11839,3663,5219,585,53,2164
683,2016,prim,Riverside,1429960,909922,336878,346095,27466,2030,182722
684,2016,prim,Sacramento,984952,715975,316992,209619,21071,3111,153517
685,2016,prim,San Benito,33943,25645,12153,7525,721,106,4895
686,2016,prim,San Bernardino,1304484,784130,303592,264149,27532,2172,175392
687,2016,prim,San Diego,2183908,1523251,561984,491843,48812,5452,395015
688,2016,prim,San Francisco,644082,462927,267876,37097,7724,4565,140674
689,2016,prim,San Joaquin,440325,309865,133259,103494,7463,759,61094
690,2016,prim,San Luis Obispo,207330,155801,54851,60772,4432,914,31543
691,2016,prim,San Mateo,501875,367155,191126,66364,7536,1837,96830
692,2016,prim,Santa Barbara,289082,201865,86180,58577,5076,988,47770
693,2016,prim,Santa Clara,1186947,788063,370161,166599,15712,2932,224983
694,2016,prim,Santa Cruz,189639,145809,83514,23471,3030,1539,31930
695,2016,prim,Shasta,134243,96310,24635,45619,3762,333,20420
696,2016,prim,Sierra,2613,2217,653,922,127,18,423
697,2016,prim,Siskiyou,34648,26480,8347,10340,1187,178,5990
698,2016,prim,Solano,288220,209339,101734,50815,5980,675,47317
699,2016,prim,Sonoma,349571,253860,137093,52200,5886,2689,52622
700,2016,prim,Stanislaus,335349,219464,83168,87093,6344,499,37960
701,2016,prim,Sutter,60702,42351,13556,18108,1401,106,7937
702,2016,prim,Tehama,43656,30724,8566,13682,1512,105,6388
703,2016,prim,Trinity,11321,7701,2629,2540,393,96,1823
704,2016,prim,Tulare,259884,142426,45495,62936,4557,357,27606
705,2016,prim,Tuolumne,41143,29472,9439,12743,1185,158,5552
706,2016,prim,Ventura,548937,413045,169689,138605,9848,1565,84543
707,2016,prim,Yolo,146291,100163,49234,22382,2656,669,23704
708,2016,prim,Yuba,48203,31004,8984,11449,1561,116,8359
711,2018,prim,Alameda,1085364,854217,486611,99401,16647,6845,230100
712,2018,prim,Alpine,939,735,292,211,28,6,188
713,2018,prim,Amador,27103,21875,6435,9863,923,111,4142
714,2018,prim,Butte,171386,116743,41319,41332,4087,946,25963
715,2018,prim,Calaveras,36104,28449,8050,12007,1301,190,6119
716,2018,prim,Colusa,12540,8433,2736,3384,257,22,1938
717,2018,prim,Contra Costa,756827,602219,300148,125114,15901,2985,150753
718,2018,prim,Del Norte,17889,14141,4381,5065,666,115,3532
719,2018,prim,El Dorado,140569,115431,33756,47973,4657,673,25565
720,2018,prim,Fresno,594711,440617,170384,151483,12293,1421,96162
721,2018,prim,Glenn,18497,12299,3559,5303,470,34,2756
722,2018,prim,Humboldt,105676,75978,33946,17932,2466,1850,18349
723,2018,prim,Imperial,100364,68147,33362,12855,1560,160,18818
724,2018,prim,Inyo,13695,9683,2971,3976,411,54,2102
725,2018,prim,Kern,516274,364280,126855,132666,12488,960,85501
726,2018,prim,Kings,79873,51546,17134,21760,1391,100,10300
727,2018,prim,Lake,49352,32805,12570,8860,1334,372,9063
728,2018,prim,Lassen,16695,14156,2957,6985,760,53,3123
729,2018,prim,Los Angeles,6216686,5149461,2635249,916313,111174,22323,1345693
730,2018,prim,Madera,89532,54848,17588,21974,1747,170,12382
731,2018,prim,Marin,182555,155591,87133,24430,3416,1357,37425
732,2018,prim,Mariposa,14937,10584,3020,4631,438,90,2116
733,2018,prim,Mendocino,64340,47487,22993,9641,1608,1065,11013
734,2018,prim,Merced,159750,91970,40337,26577,2931,323,20805
735,2018,prim,Modoc,7374,5134,1132,2574,259,22,1067
736,2018,prim,Mono,9522,6169,2174,1959,250,44,1655
737,2018,prim,Monterey,244592,180266,90763,38819,4339,932,43030
738,2018,prim,Napa,92519,76211,35180,17652,2360,602,19045
739,2018,prim,Nevada,78420,68126,24762,23153,2463,803,3785
740,2018,prim,Orange,2022355,1482036,501739,541278,38555,4814,375595
741,2018,prim,Placer,274752,223963,63981,97046,6516,886,50134
742,2018,prim,Plumas,15945,12152,3561,5238,610,59,2502
743,2018,prim,Riverside,1472819,984214,373367,337550,31205,2818,220698
744,2018,prim,Sacramento,1009125,741260,321745,199456,22905,3590,179606
745,2018,prim,San Benito,34191,28718,13385,7737,809,114,6339
746,2018,prim,San Bernardino,1325471,901081,357619,277189,31302,2939,214051
747,2018,prim,San Diego,2216211,1683430,614304,489498,56164,6981,486486
748,2018,prim,San Francisco,657193,481977,277993,33903,8486,4182,151006
749,2018,prim,San Joaquin,455449,334771,143764,101524,8871,1022,74285
750,2018,prim,San Luis Obispo,208847,166592,58107,60651,5220,1079,37532
751,2018,prim,San Mateo,506481,388456,198714,62868,8211,1986,112039
752,2018,prim,Santa Barbara,293209,206110,88371,56048,5402,1126,51193
753,2018,prim,Santa Clara,1203427,846228,393887,154860,17557,3442,267122
754,2018,prim,Santa Cruz,189708,152497,85242,22473,3330,1729,36926
755,2018,prim,Shasta,134076,99731,23965,46892,4102,400,22658
756,2018,prim,Sierra,2619,2155,599,881,125,18,460
757,2018,prim,Siskiyou,34520,27311,8378,10483,1286,212,6376
758,2018,prim,Solano,293295,220857,103562,49814,6382,871,56064
759,2018,prim,Sonoma,349475,270740,142706,51226,6729,3123,62485
760,2018,prim,Stanislaus,344968,236613,90733,86072,7028,671,46720
761,2018,prim,Sutter,60563,44625,13714,18034,1480,115,9987
762,2018,prim,Tehama,43835,32523,8504,14203,1571,101,7578
763,2018,prim,Trinity,11299,7735,2491,2541,376,100,1138
764,2018,prim,Tulare,265068,161740,51524,66518,5189,460,35745
765,2018,prim,Tuolumne,41140,30932,9335,13034,1241,178,6697
