"Friedbau"
"m &  
 Mason & 
 Bell & 
Mark L. 
Reed M. 
W. Andrew    
Auston G. 
Tony"
"McKenzie       
Unknown    
Unknown        
Shurtleff        
Richards       
McCullough   
Johnson        
Bereshny"
"""IA""   
""WI""     
""WI""    
""R""
""D""
""L""
""R""
i      ""WI"""
"34
0
0
1497
656
46
1417
0"
"275
0
0
9527
5335
402
11235
0"
"458
0
0
22465
9060
816
24664
0"
"88
0
0
2854
4189
183
3781
0"
"2
0
0
269
121
3
296
0"
"1333
0
0
51592
32948
2065
63685
1"
"79
0
0
3100
1263
116
3341
0"
"87
0
0
2740
1484
92
3361
3"
"58
0
0
1589
306
39
1536
0"
"102
0
0
1647
1537
241
1947
0"
"457
0
0
9521
2452
363
9239
0"
"70
0
0
1664
973
73
1873
0"
"98
0
0
2009
597
116
1995
0"
"133
0
0
3344
1184
148
3552
0"
"58
0
0
1567
1501
63
2353
0"
"10
0
0
574
138
5
583
0"
"4
0
0
574
294
2
689
0"
"5701
0
0
151984
141301
10259
192329
1"
"93
0
0
2435
1768
118
2867
0"
"261
0
0
5159
1906
201
5455
0"
"145
0
0
4973
1816
160
5105
0"
"171
0
0
4932
6323
402
6731
0"
"190
0
0
6528
5348
406
7769
0"
"180
0
0
5863
2031
249
5548
0"
"2639
0
0
83517
31399
2762
91900
0"
"70
0
0
3257
2197
150
3847
0"
"1085
0
0
23557
7187
1134
23542
0"
"0
0
826
313
10
859
0"
"1109
0
0
26424
34056
1649
40103
0"
"14990
0
0
435988
299683
22273
521602
5"
"0.02
0
0
0.57
0.4
0.03
1
0"
