county	year	prim_or_gen	registered	ballots_cast	vote_pres_dem	vote_pres_rep	vote_pres_other	vote_gov_rep	vote_gov_dem	vote_gov_other	vote_sen_dem	vote_sen_rep	vote_sen_other
Kane	2012	general	3,928	3,448	744	2,522	105	2,455	708	144	853	2,234	
Millard	2012	general	6,456	5,116	431	4,478	117	4,049	704	265	857	3,771	
Morgan	2012	general	5,768	4,617	403	4,114	80	3,697	699	160	866	3,491	
Piute	2012	general	976	798	74	697	11	658	82	25	95	636	
Rich	2012	general	1,310	1,026	83	915	9	841	122	24	148	821	
Salt Lake	2012	general	444,196	386,729	146,147	223,811	11,841	209,310	154,361	14,436	162,904	199,824	
San Juan	2012	general	7,686	5,349	2,139	3,074	94	3,095	1,941	209	1,805	3,130	
Sanpete	2012	general	11,407	9,655	980	8,406	161	7,676	1,384	427	1,650	7,273	
Sevier	2012	general	9,958	8,153	738	7,207	124	6,632	1,044	328	1,207	6,380	
Summit	2012	general	26,160	17,644	8,072	8,884	532	8,541	8,045	609	8,524	7,980	
Tooele	2012	general	26,484	19,387	4,524	14,268	469	13,072	4,969	1,035	5,475	12,593	
Uintah	2012	general	16,546	11,690	997	10,421	165	9,950	1,103	414	1,255	9,708	
Utah	2012	general	226,906	179,641	17,281	156,950	3,482	144,942	22,630	7,551	27,483	138,589	
Wasatch	2012	general	13,472	9,722	2,191	7,220	178	6,824	2,344	337	2,735	6,432	
Washington	2012	general	67,505	54,505	8,337	44,698	977	41,915	9,244	2,276	10,850	38,863	
Wayne	2012	general	1,812	1,355	215	1,089	23	1,050	239	29	259	1,009	
Weber	2012	general	109,203	76,524	19,841	54,224	1,847	50,774	21,377	3,070	23,463	48,142	
Beaver	2010	general	3,533	2,322							421	1,540	
Box Elder	2010	general	26,663	12,858							2,435	9,122	
Cache	2010	general	60,356	25,045							5,273	14,774	
Carbon	2010	general	15,561	5,449							2,254	2,628	
Daggett	2010	general	689	512							130	312	
Davis	2010	general	136,335	70,416							19,079	46,513	
Duchesne	2010	general	10,294	4,761							572	3,622	
Emery	2010	general	6,428	3,879							827	2,599	
Garfield	2010	general	2,938	1,703							262	1,314	
Grand	2010	general	6,398	3,454							1,476	1,645	
Iron	2010	general	21,906	11,014							1,651	8,178	
Juab	2010	general	6,276	2,941							558	1,952	
Kane	2010	general	3,968	2,498							487	1,772	
Millard	2010	general	6,168	4,275							685	2,806	
Morgan	2010	general	5,262	3,175							623	2,198	
Piute	2010	general	940	592							84	441	
Rich	2010	general	1,410	797							144	585	
Salt Lake	2010	general	470,301	255,385							116,534	121,419	
San Juan	2010	general	7,016	4,172							1,519	2,375	
Sanpete	2010	general	10,965	6,768							1,051	4,270	
Sevier	2010	general	9,727	6,054							871	4,671	
Summit	2010	general	24,637	12,024							6,000	4,955	
Tooele	2010	general	25,009	12,079							3,696	7,219	
Uintah	2010	general	16,919	7,575							833	5,908	
Utah	2010	general	214,039	103,639							16,098	78,770	
Wasatch	2010	general	11,610	6,287							1,853	3,895	
Washington	2010	general	61,648	36,322							6,043	27,480	
Wayne	2010	general	1,721	1,170							263	786	
Weber	2010	general	98,533	46,108							15,963	26,430	
Beaver	2008	general	4,260	2,563	542	1,902	65	2,038	386	51			
Box Elder	2008	general	27,412	19,360	3,311	15,228	519	16,619	1,681	589			
Cache	2008	general	69,184	42,173	10,294	29,127	1,911	34,909	4,967	1,048			
Carbon	2008	general	15,710	7,913	3,468	4,091	218	4,943	2,412	233			
Daggett	2008	general	700	451	131	297	11	357	79	6			
Davis	2008	general	145,248	112,889	30,477	77,341	3,084	90,998	16,103	2,778			
Duchesne	2008	general	9,930	5,855	911	4,689	144	4,961	586	136			
Emery	2008	general	6,440	4,545	973	3,358	117	3,418	854	127			
Garfield	2008	general	3,004	2,233	405	1,710	44	1,834	251	56			
