Adams,,
Candidate,Party,Votes
Ken Eikenberry,R,2807
Mike Lowry,D,1750
Asotin,,
Candidate,Party,Votes
Ken Eikenberry,R,4035
Mike Lowry,D,3436
Benton,,
Candidate,Party,Votes
Ken Eikenberry,R,29614
Mike Lowry,D,21872
Chelan,,
Candidate,Party,Votes
Ken Eikenberry,R,14379
Mike Lowry,D,8666
Clallam,,
Candidate,Party,Votes
Ken Eikenberry,R,16330
Mike Lowry,D,12049
Clark,,
Candidate,Party,Votes
Ken Eikenberry,R,55780
Mike Lowry,D,48292
Columbia,,
Candidate,Party,Votes
Ken Eikenberry,R,1313
Mike Lowry,D,599
Cowlitz,,
Candidate,Party,Votes
Ken Eikenberry,R,17381
Mike Lowry,D,16677
Douglas,,
Candidate,Party,Votes
Ken Eikenberry,R,6785
Mike Lowry,D,4139
Ferry,,
Candidate,Party,Votes
Ken Eikenberry,R,1459
Mike Lowry,D,1062
Franklin,,
Candidate,Party,Votes
Ken Eikenberry,R,6531
Mike Lowry,D,5474
Garfield,,
Candidate,Party,Votes
Ken Eikenberry,R,878
Mike Lowry,D,426
Grant,,
Candidate,Party,Votes
Ken Eikenberry,R,13688
Mike Lowry,D,7991
Grays Harbor,,
Candidate,Party,Votes
Mike Lowry,D,14986
Ken Eikenberry,R,12060
Island,,
Candidate,Party,Votes
Ken Eikenberry,R,14704
Mike Lowry,D,12429
Jefferson,,
Candidate,Party,Votes
Mike Lowry,D,7047
Ken Eikenberry,R,5820
King,,
Candidate,Party,Votes
Mike Lowry,D,466506
Ken Eikenberry,R,305326
Kitsap,,
Candidate,Party,Votes
Ken Eikenberry,R,44852
Mike Lowry,D,42562
Kittitas,,
Candidate,Party,Votes
Mike Lowry,D,6232
Ken Eikenberry,R,5978
Klickitat,,
Candidate,Party,Votes
Ken Eikenberry,R,3752
Mike Lowry,D,2883
Lewis,,
Candidate,Party,Votes
Ken Eikenberry,R,19003
Mike Lowry,D,7938
Lincoln,,
Candidate,Party,Votes
Ken Eikenberry,R,3223
Mike Lowry,D,1717
Mason,,
Candidate,Party,Votes
Ken Eikenberry,R,10111
Mike Lowry,D,9548
Okanogan,,
Candidate,Party,Votes
Ken Eikenberry,R,7712
Mike Lowry,D,5139
Pacific,,
Candidate,Party,Votes
Mike Lowry,D,4933
Ken Eikenberry,R,4254
Pend Oreille,,
Candidate,Party,Votes
Ken Eikenberry,R,2726
Mike Lowry,D,1919
Pierce,,
Candidate,Party,Votes
Mike Lowry,D,120968
Ken Eikenberry,R,117623
San Juan,,
Candidate,Party,Votes
Mike Lowry,D,3758
Ken Eikenberry,R,3123
Skagit,,
Candidate,Party,Votes
Ken Eikenberry,R,21560
Mike Lowry,D,18784
Skamania,,
Candidate,Party,Votes
Ken Eikenberry,R,1883
Mike Lowry,D,1657
Snohomish,,
Candidate,Party,Votes
Mike Lowry,D,117000
Ken Eikenberry,R,106196
Spokane,,
Candidate,Party,Votes
Ken Eikenberry,R,93269
Mike Lowry,D,74262
Stevens,,
Candidate,Party,Votes
Ken Eikenberry,R,9217
Mike Lowry,D,5447
Thurston,,
Candidate,Party,Votes
Mike Lowry,D,46666
Ken Eikenberry,R,37038
Wahkiakum,,
Candidate,Party,Votes
Ken Eikenberry,R,966
Mike Lowry,D,775
Walla Walla,,
Candidate,Party,Votes
Ken Eikenberry,R,11333
Mike Lowry,D,8330
Whatcom,,
Candidate,Party,Votes
Ken Eikenberry,R,31756
Mike Lowry,D,31113
Whitman,,
Candidate,Party,Votes
Ken Eikenberry,R,8883
Mike Lowry,D,8459
Yakima,,
Candidate,Party,Votes
Ken Eikenberry,R,32868
Mike Lowry,D,30824
