Adams,,
Candidate,Party,Votes
John Carlson,R,2629
Gary Locke,D,2250
Steve W. LePage,L,67
Asotin,,
Candidate,Party,Votes
Gary Locke,D,4718
John Carlson,R,3070
Steve W. LePage,L,123
Benton,,
Candidate,Party,Votes
John Carlson,R,29245
Gary Locke,D,28892
Steve W. LePage,L,1165
Chelan,,
Candidate,Party,Votes
John Carlson,R,14970
Gary Locke,D,10984
Steve W. LePage,L,391
Clallam,,
Candidate,Party,Votes
Gary Locke,D,17128
John Carlson,R,13795
Steve W. LePage,L,839
Clark,,
Candidate,Party,Votes
Gary Locke,D,71998
John Carlson,R,57464
Steve W. LePage,L,3382
Columbia,,
Candidate,Party,Votes
John Carlson,R,1116
Gary Locke,D,950
Steve W. LePage,L,32
Cowlitz,,
Candidate,Party,Votes
Gary Locke,D,20919
John Carlson,R,14589
Steve W. LePage,L,1010
Douglas,,
Candidate,Party,Votes
John Carlson,R,7454
Gary Locke,D,5149
Steve W. LePage,L,232
Ferry,,
Candidate,Party,Votes
John Carlson,R,1624
Gary Locke,D,1254
Steve W. LePage,L,135
Franklin,,
Candidate,Party,Votes
John Carlson,R,6832
Gary Locke,D,6757
Steve W. LePage,L,333
Garfield,,
Candidate,Party,Votes
John Carlson,R,646
Gary Locke,D,644
Steve W. LePage,L,40
Grant,,
Candidate,Party,Votes
John Carlson,R,13673
Gary Locke,D,9491
Steve W. LePage,L,531
Grays Harbor,,
Candidate,Party,Votes
Gary Locke,D,15817
John Carlson,R,9566
Steve W. LePage,L,578
Island,,
Candidate,Party,Votes
Gary Locke,D,17736
John Carlson,R,14381
Steve W. LePage,L,541
Jefferson,,
Candidate,Party,Votes
Gary Locke,D,9712
John Carlson,R,5628
Steve W. LePage,L,398
King,,
Candidate,Party,Votes
Gary Locke,D,522229
John Carlson,R,250103
Steve W. LePage,L,13475
Kitsap,,
Candidate,Party,Votes
Gary Locke,D,58603
John Carlson,R,42358
Steve W. LePage,L,1966
Kittitas,,
Candidate,Party,Votes
John Carlson,R,7262
Gary Locke,D,6423
Steve W. LePage,L,315
Klickitat,,
Candidate,Party,Votes
Gary Locke,D,4278
John Carlson,R,3468
Steve W. LePage,L,253
Lewis,,
Candidate,Party,Votes
John Carlson,R,16422
Gary Locke,D,12545
Steve W. LePage,L,777
Lincoln,,
Candidate,Party,Votes
John Carlson,R,2984
Gary Locke,D,2083
Steve W. LePage,L,115
Mason,,
Candidate,Party,Votes
Gary Locke,D,12319
John Carlson,R,9473
Steve W. LePage,L,497
Okanogan,,
Candidate,Party,Votes
John Carlson,R,8559
Gary Locke,D,5626
Steve W. LePage,L,481
Pacific,,
Candidate,Party,Votes
Gary Locke,D,5519
John Carlson,R,3643
Steve W. LePage,L,244
Pend Oreille,,
Candidate,Party,Votes
Gary Locke,D,2621
John Carlson,R,2590
Steve W. LePage,L,164
Pierce,,
Candidate,Party,Votes
Gary Locke,D,148450
John Carlson,R,113633
Steve W. LePage,L,4900
San Juan,,
Candidate,Party,Votes
Gary Locke,D,5385
John Carlson,R,2684
Steve W. LePage,L,237
Skagit,,
Candidate,Party,Votes
Gary Locke,D,24191
John Carlson,R,19990
Steve W. LePage,L,871
Skamania,,
Candidate,Party,Votes
Gary Locke,D,2148
John Carlson,R,1656
Steve W. LePage,L,230
Snohomish,,
Candidate,Party,Votes
Gary Locke,D,142196
John Carlson,R,102993
Steve W. LePage,L,4756
Spokane,,
Candidate,Party,Votes
Gary Locke,D,99492
John Carlson,R,69848
Steve W. LePage,L,2652
Stevens,,
Candidate,Party,Votes
John Carlson,R,9871
Gary Locke,D,7426
Steve W. LePage,L,536
Thurston,,
Candidate,Party,Votes
Gary Locke,D,58915
John Carlson,R,35404
Steve W. LePage,L,2147
Wahkiakum,,
Candidate,Party,Votes
Gary Locke,D,1112
John Carlson,R,770
Steve W. LePage,L,69
Walla Walla,,
Candidate,Party,Votes
Gary Locke,D,10869
John Carlson,R,9936
Steve W. LePage,L,380
Whatcom,,
Candidate,Party,Votes
Gary Locke,D,42313
John Carlson,R,28861
Steve W. LePage,L,1500
Whitman,,
Candidate,Party,Votes
Gary Locke,D,9113
John Carlson,R,6676
Steve W. LePage,L,269
Yakima,,
Candidate,Party,Votes
John Carlson,R,34194
Gary Locke,D,33718
Steve W. LePage,L,1188
