County ,Registered,Cast,TurnoutPct,AccessibleVotingUnitVotes,AbsenteeCast,AbsenteePct,Year,VBMOnly
Columbia,2590,2196,0.8479,0,2196,1.0000,2010,1
Cowlitz,55265,37783,0.6837,11,37772,0.9997,2010,1
Douglas,18172,13458,0.7406,0,13458,1.0000,2010,1
Ferry,4280,3300,0.7710,0,3300,1.0000,2010,1
Franklin,25349,17557,0.6926,0,17557,1.0000,2010,1
Garfield,1537,1210,0.7872,0,1210,1.0000,2010,1
Grant,33532,24425,0.7284,0,24425,1.0000,2010,1
Grays Harbor,35791,26050,0.7278,0,26050,1.0000,2010,1
Island,47782,36513,0.7642,0,36513,1.0000,2010,1
Jefferson,21746,17738,0.8157,2,17736,0.9999,2010,1
King,1069791,766477,0.7165,2286,764191,0.9970,2010,1
Kitsap,143796,105747,0.7354,426,105321,0.9960,2010,1
Kittitas,20193,15466,0.7659,4,15462,0.9997,2010,1
Klickitat,12415,8905,0.7173,0,8905,1.0000,2010,1
Lewis,41972,31414,0.7485,0,31414,1.0000,2010,1
Lincoln,6983,5536,0.7928,0,5536,1.0000,2010,1
Mason,33344,25347,0.7602,4,25343,0.9998,2010,1
Okanogan,20510,15043,0.7334,0,15043,1.0000,2010,1
Pacific,12988,9981,0.7685,0,9981,1.0000,2010,1
Pend Oreille,7824,6007,0.7678,1,6006,0.9998,2010,1
Pierce,410081,272587,0.6647,5373,243627,0.8938,2010,0
San Juan,11606,9382,0.8084,3,9379,0.9997,2010,1
Skagit,64138,48960,0.7634,0,48960,1.0000,2010,1
Skamania,6570,4666,0.7102,2,4664,0.9996,2010,1
Snohomish,377739,270662,0.7165,1055,269607,0.9961,2010,1
Spokane,261250,186250,0.7129,15,186235,0.9999,2010,1
Stevens,26931,20091,0.7460,12,20079,0.9994,2010,1
Thurston,149024,107344,0.7203,90,107254,0.9992,2010,1
Wahkiakum,2644,2096,0.7927,0,2096,1.0000,2010,1
Walla Walla,30183,21598,0.7156,1,21597,1.0000,2010,1
Whatcom,116581,86993,0.7462,1,86992,1.0000,2010,1
Whitman,19128,13817,0.7223,0,13817,1.0000,2010,1
Yakima,99568,63163,0.6344,6,63157,0.9999,2010,1
Adams,6443,3767,0.5847,,894,0.2373,1998,0
Asotin,13413,6061,0.4519,,996,0.1643,1998,0
Benton,72173,44085,0.6108,,17950,0.4072,1998,0
Chelan,34709,21246,0.6121,,10317,0.4856,1998,0
Clallam,38309,28230,0.7369,,21301,0.7546,1998,0
Clark,168294,98357,0.5844,,60101,0.6110,1998,0
Columbia,2573,1765,0.6860,,578,0.3275,1998,0
Cowlitz,47863,29469,0.6157,,21245,0.7209,1998,0
Douglas,16141,9251,0.5731,,5893,0.6370,1998,0
Ferry,3740,2818,0.7535,,2818,1.0000,1998,1
Franklin,17439,10823,0.6206,,2071,0.1914,1998,0
Garfield,1706,1314,0.7702,,441,0.3356,1998,0
Grant,28717,18134,0.6315,,6571,0.3624,1998,0
Grays Harbor,35317,21956,0.6217,,8595,0.3915,1998,0
Island,36881,25606,0.6943,,10757,0.4201,1998,0
Jefferson,17247,12900,0.7480,,5824,0.4515,1998,0
King,1005074,619104,0.6160,,275089,0.4443,1998,0
Kitsap,122900,83958,0.6831,,54606,0.6504,1998,0
Kittitas,15962,11047,0.6921,,3433,0.3108,1998,0
Klickitat,11044,6441,0.5832,,1982,0.3077,1998,0
Lewis,39999,25213,0.6303,,11763,0.4665,1998,0
Lincoln,6636,4644,0.6998,,958,0.2063,1998,0
Mason,27766,18921,0.6814,,8468,0.4475,1998,0
Okanogan,18034,11951,0.6627,,4152,0.3474,1998,0
Pacific,12410,8108,0.6533,,2788,0.3439,1998,0
Pend Oreille,6807,4876,0.7163,,2513,0.5154,1998,0
Pierce,338116,209340,0.6191,,150795,0.7203,1998,0
San Juan,9152,7086,0.7743,,3717,0.5246,1998,0
Skagit,54982,35621,0.6479,,11810,0.3315,1998,0
Skamania,5383,3389,0.6296,,2106,0.6214,1998,0
Snohomish,304541,189230,0.6214,,80468,0.4252,1998,0
Spokane,219266,129552,0.5908,,29577,0.2283,1998,0
Stevens,24908,13900,0.5581,,3469,0.2496,1998,0
Thurston,119604,79202,0.6622,,55623,0.7023,1998,0
Wahkiakum,2415,1908,0.7901,,1118,0.5860,1998,0
Walla Walla,26833,15959,0.5948,,5913,0.3705,1998,0
Whatcom,90258,57090,0.6325,,28853,0.5054,1998,0
Whitman,26038,13141,0.5047,,2507,0.1908,1998,0
Yakima,90469,53958,0.5964,,6777,0.1256,1998,0
Adams,6307,4700,0.7452,,959,0.2040,1996,0
Asotin,12206,7540,0.6177,,1122,0.1488,1996,0
Benton,78840,54608,0.6926,,11178,0.2047,1996,0
Chelan,34210,24150,0.7059,,8506,0.3522,1996,0
Clallam,41922,30508,0.7277,,11264,0.3692,1996,0
Clark,158080,114392,0.7236,,51943,0.4541,1996,0
Columbia,2746,1997,0.7272,,303,0.1517,1996,0
Cowlitz,46836,33930,0.7244,,20349,0.5997,1996,0
Douglas,15114,11073,0.7326,,3590,0.3242,1996,0
Ferry,3809,2874,0.7545,,23,1.0000,1996,1
Franklin,17401,12654,0.7272,,2593,0.2049,1996,0
Garfield,1675,1301,0.7767,,639,0.4912,1996,0
Grant,29622,22168,0.7484,,6678,0.3012,1996,0
Grays Harbor,37712,26790,0.7104,,7221,0.2695,1996,0
Island,39406,29040,0.7369,,9358,0.3222,1996,0
Jefferson,18087,14271,0.7890,,5119,0.3587,1996,0
King,976656,750755,0.7687,,241787,0.3221,1996,0
Kitsap,124714,93315,0.7482,,39995,0.4286,1996,0
Kittitas,18555,12742,0.6867,,2972,0.2332,1996,0
Klickitat,10405,7152,0.6874,,1983,0.2773,1996,0
Lewis,39240,28166,0.7178,,8807,0.3127,1996,0
Lincoln,6507,5168,0.7942,,879,0.1701,1996,0
Mason,26272,21192,0.8066,,6673,0.3149,1996,0
Okanogan,17407,13351,0.7670,,3644,0.2729,1996,0
Pacific,12418,9349,0.7529,,2251,0.2408,1996,0
Pend Oreille,6948,5083,0.7316,,2347,0.4617,1996,0
Pierce,316555,241604,0.7632,,144930,0.5999,1996,0
San Juan,8798,7432,0.8447,,3051,0.4105,1996,0
Skagit,53358,41849,0.7843,,10369,0.2478,1996,0
Skamania,5535,3846,0.6949,,2186,0.5684,1996,0
Snohomish,295768,225026,0.7608,,69137,0.3072,1996,0
Spokane,228449,162781,0.7125,,29141,0.1790,1996,0
Stevens,24133,16984,0.7038,,3473,0.2045,1996,0
Thurston,122297,88566,0.7242,,47774,0.5394,1996,0
Wahkiakum,2396,1867,0.7792,,928,0.4971,1996,0
Walla Walla,28770,19855,0.6901,,5484,0.2762,1996,0
Whatcom,95665,65518,0.6849,,24598,0.3754,1996,0
Whitman,26179,16134,0.6163,,2515,0.1559,1996,0
Yakima,87130,64164,0.7364,,19981,0.3114,1996,0
