County ,Registered,Cast,TurnoutPct,AccessibleVotingUnitVotes,AbsenteeCast,AbsenteePct,Year,VBMOnly
Columbia,2453,1989,0.8108,0,1989,1.0000,2006,1
Cowlitz,52299,31643,0.6050,4,31643,1.0000,2006,1
Douglas,17425,11295,0.6482,5,11296,1.0001,2006,1
Ferry,3977,2867,0.7209,0,2867,1.0000,2006,1
Franklin,19896,13034,0.6551,0,12983,0.9961,2006,1
Garfield,1470,1236,0.8408,0,1218,0.9854,2006,1
Grant,30050,20146,0.6704,0,20146,1.0000,2006,1
Grays Harbor,34164,22296,0.6526,4,22296,1.0000,2006,1
Island,44065,30503,0.6922,468,23997,0.7867,2006,0
Jefferson,20973,16259,0.7752,0,16259,1.0000,2006,1
King,974340,635753,0.6525,14795,442874,0.6966,2006,0
Kitsap,133484,91073,0.6823,241,90786,0.9968,2006,1
Kittitas,18246,12490,0.6845,41,9781,0.7831,2006,0
Klickitat,11109,7547,0.6794,2,5756,0.7627,2006,0
Lewis,38852,25652,0.6602,0,25641,0.9996,2006,1
Lincoln,6415,4898,0.7635,0,4893,0.9990,2006,1
Mason,30571,21504,0.7034,0,21504,1.0000,2006,1
Okanogan,19521,13193,0.6758,0,13145,0.9964,2006,1
Pacific,12387,8861,0.7153,1,8847,0.9984,2006,1
Pend Oreille,7383,5297,0.7175,0,5297,1.0000,2006,1
Pierce,373909,216574,0.5792,5007,181395,0.8376,2006,0
San Juan,10656,8304,0.7793,3,8292,0.9986,2006,1
Skagit,59949,41641,0.6946,0,41641,1.0000,2006,1
Skamania,6301,4160,0.6602,0,4149,0.9974,2006,1
Snohomish,334369,208243,0.6228,392,206911,0.9936,2006,1
Spokane,235535,157335,0.6680,19,155717,0.9897,2006,1
Stevens,25439,17383,0.6833,21,17380,0.9998,2006,1
Thurston,134907,85011,0.6301,21,84938,0.9991,2006,1
Wahkiakum,2655,1871,0.7047,2,1871,1.0000,2006,1
Walla Walla,26921,18302,0.6798,5,18302,1.0000,2006,1
Whatcom,102819,69782,0.6787,3,69735,0.9993,2006,1
Whitman,17968,13214,0.7354,5,13039,0.9868,2006,1
Yakima,91722,55584,0.6060,18,55517,0.9988,2006,1
Adams,5823,3308,0.5681,0,3308,1.0000,2007,1
Asotin,11564,6424,0.5555,0,6424,1.0000,2007,1
Benton,78481,42609,0.5429,5,42604,0.9999,2007,1
Chelan,35983,19174,0.5329,18,19156,0.9991,2007,1
Clallam,43296,25282,0.5839,2,25280,0.9999,2007,1
Clark,188946,81866,0.4333,6,81860,0.9999,2007,1
Columbia,2461,1613,0.6554,0,1613,1.0000,2007,1
Cowlitz,52562,25744,0.4898,8,25736,0.9997,2007,1
Douglas,18052,9122,0.5053,0,9122,1.0000,2007,1
Ferry,4052,2316,0.5716,0,2316,1.0000,2007,1
Franklin,20371,10239,0.5026,0,10239,1.0000,2007,1
Garfield,1489,1037,0.6964,2,1035,0.9981,2007,1
Grant,30162,16431,0.5448,1,16430,0.9999,2007,1
Grays Harbor,34358,19365,0.5636,0,19365,1.0000,2007,1
Island,42323,25621,0.6054,0,25621,1.0000,2007,1
Jefferson,20928,13013,0.6218,5,13008,0.9996,2007,1
King,994798,465999,0.4684,10524,358759,0.7699,2007,0
Kitsap,134081,72266,0.5390,119,72147,0.9984,2007,1
Kittitas,18340,10466,0.5707,37,8807,0.8415,2007,0
Klickitat,11329,6510,0.5746,0,6510,1.0000,2007,1
Lewis,39972,22552,0.5642,0,22552,1.0000,2007,1
Lincoln,6596,4361,0.6612,0,4361,1.0000,2007,1
Mason,30116,18509,0.6146,3,18506,0.9998,2007,1
Okanogan,19522,10163,0.5206,0,10163,1.0000,2007,1
Pacific,12536,7335,0.5851,6,7329,0.9992,2007,1
Pend Oreille,7200,4505,0.6257,1,4504,0.9998,2007,1
Pierce,373207,166379,0.4458,3656,146759,0.8821,2007,0
San Juan,10852,6690,0.6165,0,6690,1.0000,2007,1
Skagit,59686,33455,0.5605,0,33455,1.0000,2007,1
Skamania,6393,3140,0.4912,1,3139,0.9997,2007,1
Snohomish,333618,170760,0.5118,568,170192,0.9967,2007,1
Spokane,236263,129406,0.5477,13,129393,0.9999,2007,1
Stevens,25100,14488,0.5772,2,14486,0.9999,2007,1
Thurston,134615,67279,0.4998,42,67237,0.9994,2007,1
Wahkiakum,2683,1784,0.6649,1,1783,0.9994,2007,1
Walla Walla,28657,14409,0.5028,2,14407,0.9999,2007,1
