"","","","Voter Registration Statistics by County","","","","","",""
"","","","","October 9,  1990","","","","",""
"","","","","","American","","Peace  and","","Declines"
"","Eligible to  Registered","","","","","","","",""
"","","","","","Independent  Libertarian","","Freedom  Miscellaneous","","to State"
"County Name","Register","","to Vote  DemocratiC:  Republican","","","","","",""
"Sutler","41,630","~,707","","","","","","'06",""
"","","24,247","11,795","9,489","","133","","281","1,930"
"Tehama","34,098","","","","5""","","","",""
"","","","","","","","""","",""
"","","7,918","3,762","2,950","I'IS","52","47","173","736"
"Trinity","10,293","","","","","","","",""
"","","117,071","56,584","48,987","1,843","290","377 
..","","8,933"
"Tulare","190,181","","","","","","","",""
"","","","","11,221","329","77","","52 
""","2,218"
"TuoluQlne","35,384","27,765","13,780","","","","","",""
"","","","","","","","","",""
"Velltura","424933","308,555","125,238","146,417","3,810","1,083","1,019","2,304","28,684"
"","","","","","","253","25,","48.","1:'21"
"Yolo","%,122","71,689","38,83<1","23,442","892","","","",""
"y,,,,","","","10,}.8.9","","461)","71","%","39","2.011"
"","34,886","21,749","","8,783","","","","",""
"St~te TOlals","19,244,902","13,478,027","6,671,741","5,290,2Q2","156,524","50,782","52,183","35,115","1,221,374"
"","","70.03","49.50","39.25","1.16","0.38","0,39","0.26",",.06"
"Percent","","","","","","","","",""
