,Barack Obama,John McCain,Alan Keyes,Cynthia McKinney,Bob Barr,Ralph Nader,Frank Moore,Ron Paul,James Harris,Chuck Baldwin
,DEM,REP,AI,GRN,LIB,PF,IND (W/I),IND (W/I),IND (W/I),IND (W/I)
  Percent,42.8%,54.8%,0.6%,0.2%,0.4%,1.2%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,
Riverside,"325,017","310,041","2,193","1,318","2,879","4,826",1,776,0,248
  Percent,50.3%,47.9%,0.3%,0.2%,0.4%,0.8%,0.0%,0.1%,0.0%,0.0%
,,,,,,,,,,
Sacramento,"316,506","213,583","1,781","1,423","2,337","4,705",2,634,0,130
  Percent,58.5%,39.5%,0.3%,0.2%,0.5%,0.9%,0.0%,0.1%,0.0%,0.0%
,,,,,,,,,,
San Benito,"11,917","7,425",67,53,89,154,0,0,0,0
  Percent,60.5%,37.7%,0.3%,0.2%,0.5%,0.8%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,
San Bernardino,"315,720","277,408","2,415","1,669","2,909","5,288",0,726,1,198
  Percent,52.1%,45.8%,0.4%,0.2%,0.5%,0.9%,0.0%,0.1%,0.0%,0.0%
,,,,,,,,,,
San Diego,"666,581","541,032","3,297","2,564","6,028","8,917",2,"2,232",0,394
  Percent,54.2%,44.0%,0.2%,0.2%,0.5%,0.8%,0.0%,0.1%,0.0%,0.0%
,,,,,,,,,,
San Francisco,"322,220","52,292",424,"1,743","1,786","3,946",5,398,14,37
  Percent,84.2%,13.7%,0.1%,0.4%,0.4%,1.1%,0.0%,0.1%,0.0%,0.0%
,,,,,,,,,,
San Joaquin,"113,974","91,607",767,531,680,"1,597",0,163,0,30
  Percent,54.5%,43.8%,0.4%,0.2%,0.3%,0.8%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,
San Luis Obispo,"68,176","61,055",502,355,713,"1,317",0,475,0,60
  Percent,51.4%,46.1%,0.4%,0.2%,0.6%,1.0%,0.0%,0.3%,0.0%,0.0%
,,,,,,,,,,
San Mateo,"222,826","75,057",609,753,"1,376","2,227",1,388,2,53
  Percent,73.5%,24.8%,0.2%,0.2%,0.4%,0.8%,0.0%,0.1%,0.0%,0.0%
,,,,,,,,,,
Santa Barbara,"105,614","65,585",527,387,877,"1,520",0,363,0,39
  Percent,60.4%,37.5%,0.3%,0.2%,0.5%,0.9%,0.0%,0.2%,0.0%,0.0%
,,,,,,,,,,
Santa Clara,"462,241","190,039","1,755","1,801","3,918","4,781",1,912,1,140
  Percent,69.5%,28.6%,0.2%,0.2%,0.6%,0.8%,0.0%,0.1%,0.0%,0.0%
,,,,,,,,,,
Santa Cruz,"98,745","25,244",351,498,724,"1,484",2,384,2,49
  Percent,77.5%,19.9%,0.2%,0.3%,0.6%,1.2%,0.0%,0.3%,0.0%,0.0%
,,,,,,,,,,
Shasta,"28,867","49,588",367,215,427,725,0,148,0,53
  Percent,36.0%,61.7%,0.4%,0.2%,0.6%,1.0%,0.0%,0.1%,0.0%,0.0%
,,,,,,,,,,
Sierra,743,"1,158",17,13,20,18,0,17,0,5
  Percent,37.4%,58.2%,0.8%,0.6%,1.1%,0.9%,0.0%,0.8%,0.0%,0.2%
,,,,,,,,,,
Siskiyou,"9,292","11,520",144,68,157,211,0,61,0,17
  Percent,43.3%,53.7%,0.7%,0.3%,0.8%,1.0%,0.0%,0.2%,0.0%,0.0%
,,,,,,,,,,
Solano,"102,095","56,035",595,325,602,"1,162",0,126,0,33
  Percent,63.5%,34.9%,0.3%,0.2%,0.3%,0.8%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,
Sonoma,"168,888","55,127",809,890,"1,292","2,002",1,286,0,56
  Percent,73.7%,24.1%,0.3%,0.3%,0.6%,0.9%,0.0%,0.1%,0.0%,0.0%
,,,,,,,,,,
Stanislaus,"80,279","77,497",669,393,635,"1,309",1,175,0,57
  Percent,49.9%,48.2%,0.4%,0.2%,0.3%,0.9%,0.0%,0.1%,0.0%,0.0%
,,,,,,,,,,
Sutter,"13,412","18,911",144,70,151,225,0,26,0,2
  Percent,40.8%,57.5%,0.4%,0.2%,0.4%,0.7%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,
Tehama,"8,945","14,843",161,74,141,246,0,20,0,6
  Percent,36.7%,60.8%,0.6%,0.3%,0.5%,1.1%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,
Trinity,"3,233","2,940",16,41,50,74,0,20,0,0
  Percent,50.8%,46.2%,0.2%,0.6%,0.7%,1.2%,0.0%,0.3%,0.0%,0.0%
,,,,,,,,,,
Tulare,"43,634","59,765",360,217,354,718,0,114,0,44
  Percent,41.5%,56.9%,0.3%,0.2%,0.3%,0.7%,0.0%,0.1%,0.0%,0.0%
,,,,,,,,,,
Tuolumne,"11,532","14,988",114,64,153,300,0,25,0,5
  Percent,42.5%,55.2%,0.4%,0.2%,0.5%,1.2%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,
Ventura,"187,601","145,853","1,131",665,"1,813","2,258",0,399,0,80
  Percent,55.3%,43.0%,0.3%,0.1%,0.5%,0.7%,0.0%,0.1%,0.0%,0.0%
,,,,,,,,,,
Yolo,"53,488","24,592",221,303,315,693,1,119,0,17
  Percent,67.1%,30.9%,0.2%,0.4%,0.4%,0.9%,0.0%,0.1%,0.0%,0.0%
,,,,,,,,,,
Yuba,"8,866","12,007",145,72,120,155,0,29,0,7
  Percent,41.5%,56.2%,0.6%,0.3%,0.5%,0.8%,0.0%,0.1%,0.0%,0.0%
,,,,,,,,,,
State Totals,"8,274,473","5,011,781","40,673","38,774","67,582","108,381",36,"17,006",49,"3,145"
  Percent,61.1%,37.0%,0.3%,0.2%,0.5%,0.8%,0.0%,0.1%,0.0%,0.0%
,,,,,,,,,,
,,,,,,,,,,
