,Hillary Clinton,Donald J. Trump,"Jill 
Stein",Gary Johnson,"Gloria Estela
 La Riva",Laurence Kotlikoff,Mike Maturen,Evan McMullin,"Bernard ""Bernie"" Sanders","Jerry
 White"
,DEM,"REP, AI",GRN,LIB,PF,(W/I),(W/I),(W/I),(W/I),(W/I)
  Percent,40.2%,52.0%,1.4%,5.1%,0.1%,0.0%,0.0%,0.6%,0.6%,0.0%
,,,,,,,,,,
Plumas,"3,459","5,420",186,411,29,0,0,51,120,0
  Percent,35.7%,56.0%,1.9%,4.2%,0.3%,0.0%,0.0%,0.5%,1.2%,0.0%
,,,,,,,,,,
Riverside,"373,695","333,243","11,320","24,089","3,433",4,49,"2,168","3,387",3
  Percent,49.7%,44.4%,1.5%,3.2%,0.5%,0.0%,0.0%,0.3%,0.5%,0.0%
,,,,,,,,,,
Sacramento,"326,023","189,789","9,846","24,412","2,556",5,65,"2,205","4,429",0
  Percent,58.3%,33.9%,1.8%,4.4%,0.5%,0.0%,0.0%,0.4%,0.8%,0.0%
,,,,,,,,,,
San Benito,"12,521","7,841",364,815,138,1,0,86,158,0
  Percent,57.1%,35.8%,1.7%,3.7%,0.6%,0.0%,0.0%,0.4%,0.7%,0.0%
,,,,,,,,,,
San Bernardino,"340,833","271,240","10,604","21,050","3,786",5,37,"1,877","4,551",0
  Percent,52.1%,41.5%,1.6%,3.2%,0.6%,0.0%,0.0%,0.3%,0.7%,0.0%
,,,,,,,,,,
San Diego,"735,476","477,766","22,820","51,663","3,353",42,152,"4,851","10,255",22
  Percent,56.3%,36.6%,1.7%,4.0%,0.3%,0.0%,0.0%,0.4%,0.8%,0.0%
,,,,,,,,,,
San Francisco,"345,084","37,688","9,904","8,883","1,799",13,22,373,"2,021",5
  Percent,85.0%,9.3%,2.4%,2.2%,0.4%,0.0%,0.0%,0.1%,0.5%,0.0%
,,,,,,,,,,
San Joaquin,"121,124","88,936","3,134","8,049",903,5,26,617,"1,372",0
  Percent,54.0%,39.7%,1.4%,3.6%,0.4%,0.0%,0.0%,0.3%,0.6%,0.0%
,,,,,,,,,,
San Luis Obispo,"67,107","56,164","2,848","6,473",425,3,13,702,"1,273",1
  Percent,49.7%,41.6%,2.1%,4.8%,0.3%,0.0%,0.0%,0.5%,0.9%,0.0%
,,,,,,,,,,
San Mateo,"237,882","57,929","5,102","9,464","1,047",15,23,760,"2,159",3
  Percent,75.7%,18.4%,1.6%,3.0%,0.3%,0.0%,0.0%,0.2%,0.7%,0.0%
,,,,,,,,,,
Santa Barbara,"107,142","56,365","3,719","6,748",693,1,18,733,"1,366",1
  Percent,60.6%,31.9%,2.1%,3.8%,0.4%,0.0%,0.0%,0.4%,0.8%,0.0%
,,,,,,,,,,
Santa Clara,"511,684","144,826","12,664","25,325","2,759",25,61,"2,296","4,066",3
  Percent,72.7%,20.6%,1.8%,3.6%,0.4%,0.0%,0.0%,0.3%,0.6%,0.0%
,,,,,,,,,,
Santa Cruz,"95,249","22,438","4,485","4,325",627,4,10,283,"1,395",5
  Percent,73.9%,17.4%,3.5%,3.4%,0.5%,0.0%,0.0%,0.2%,1.1%,0.0%
,,,,,,,,,,
Shasta,"22,301","51,778","1,300","3,382",329,2,2,439,520,0
  Percent,27.9%,64.7%,1.6%,4.2%,0.4%,0.0%,0.0%,0.5%,0.6%,0.0%
,,,,,,,,,,
Sierra,601,"1,048",42,98,15,0,0,6,20,0
  Percent,32.8%,57.3%,2.3%,5.4%,0.8%,0.0%,0.0%,0.3%,1.1%,0.0%
,,,,,,,,,,
Siskiyou,"7,234","11,341",575,875,88,1,5,104,269,0
  Percent,35.3%,55.3%,2.8%,4.3%,0.4%,0.0%,0.0%,0.5%,1.3%,0.0%
,,,,,,,,,,
Solano,"102,360","51,920","2,771","6,254",804,0,10,557,"1,437",0
  Percent,61.6%,31.3%,1.7%,3.8%,0.5%,0.0%,0.0%,0.3%,0.9%,0.0%
,,,,,,,,,,
Sonoma,"160,435","51,408","7,347","8,987",679,8,9,543,"1,835",2
  Percent,69.4%,22.2%,3.2%,3.9%,0.3%,0.0%,0.0%,0.2%,0.8%,0.0%
,,,,,,,,,,
Stanislaus,"81,647","78,494","2,562","6,662",986,2,46,563,"1,184",0
  Percent,47.4%,45.6%,1.5%,3.9%,0.6%,0.0%,0.0%,0.3%,0.7%,0.0%
,,,,,,,,,,
Sutter,"13,076","18,176",382,"1,437",198,0,0,134,120,0
  Percent,39.0%,54.2%,1.1%,4.3%,0.6%,0.0%,0.0%,0.4%,0.4%,0.0%
,,,,,,,,,,
