,Barack Obama*,Mitt Romney,Thomas Hoefling,"Jill 
Stein",Gary Johnson,Roseanne Barr,"Ross C. ""Rocky"" Anderson","Shelia ""Samm"" Tittle",Stephen Durham,"Ron 
Paul",James Harris,Virgil Goode,"Jerry 
White",Stewart Alexander
,DEM,REP,AI,GRN,LIB,PF,NPP (W/I),NPP (W/I),NPP (W/I),NPP (W/I),NPP (W/I),NPP (W/I),NPP (W/I),NPP (W/I)
,,,,,,,,,,,,,,
  Percent,66.2%,27.6%,0.5%,2.9%,1.4%,0.9%,0.1%,0.0%,0.0%,0.5%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,
Merced,"33,005","27,581",265,243,516,311,3,0,0,130,0,3,0,0
  Percent,53.2%,44.4%,0.4%,0.4%,0.8%,0.5%,0.0%,0.0%,0.0%,0.2%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,
Modoc,"1,111","2,777",11,20,42,21,0,0,0,4,0,0,0,0
  Percent,27.9%,69.7%,0.3%,0.5%,1.1%,0.5%,0.0%,0.0%,0.0%,0.1%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,
Mono,"2,733","2,285",17,36,85,12,1,0,0,12,0,0,0,0
  Percent,52.8%,44.1%,0.3%,0.7%,1.6%,0.2%,0.0%,0.0%,0.0%,0.2%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,
Monterey,"82,920","37,390",338,757,"1,341",524,14,0,0,227,0,6,0,1
  Percent,67.1%,30.3%,0.3%,0.6%,1.1%,0.4%,0.0%,0.0%,0.0%,0.2%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,
Napa,"35,870","19,526",160,455,601,241,1,0,0,107,0,4,1,2
  Percent,63.0%,34.3%,0.3%,0.8%,1.1%,0.4%,0.0%,0.0%,0.0%,0.2%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,
Nevada,"24,663","24,986",72,661,830,198,8,0,1,256,0,1,0,0
  Percent,47.7%,48.4%,0.1%,1.3%,1.6%,0.4%,0.0%,0.0%,0.0%,0.5%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,
Orange,"512,440","582,332","2,999","4,792","14,132","3,348",65,1,1,"2,485",3,58,1,7
  Percent,45.6%,51.9%,0.3%,0.4%,1.3%,0.3%,0.0%,0.0%,0.0%,0.2%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,
Placer,"66,818","99,921",502,683,"2,307",580,6,0,0,502,0,2,0,1
  Percent,39.0%,58.3%,0.3%,0.4%,1.3%,0.3%,0.0%,0.0%,0.0%,0.3%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,
Plumas,"4,026","5,721",22,71,128,40,1,0,0,38,0,0,0,0
  Percent,40.1%,56.9%,0.2%,0.7%,1.3%,0.4%,0.0%,0.0%,0.0%,0.4%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,
Riverside,"329,063","318,127","2,350","2,243","6,223","2,609",20,0,0,"1,212",0,45,5,10
  Percent,49.7%,48.1%,0.4%,0.3%,0.9%,0.4%,0.0%,0.0%,0.0%,0.2%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,
Sacramento,"300,503","202,514","1,532","2,753","6,134","2,419",37,0,1,879,1,32,3,1
  Percent,58.1%,39.2%,0.3%,0.5%,1.2%,0.5%,0.0%,0.0%,0.0%,0.2%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,
San Benito,"11,276","7,343",57,78,164,96,1,0,0,29,0,0,0,0
  Percent,59.2%,38.6%,0.3%,0.4%,0.9%,0.5%,0.0%,0.0%,0.0%,0.2%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,,,,,,
San Bernardino,"305,109","262,358","2,418","2,227","5,883","2,608",13,0,0,878,0,22,0,1
  Percent,52.5%,45.1%,0.4%,0.4%,1.0%,0.4%,0.0%,0.0%,0.0%,0.2%,0.0%,0.0%,0.0%,0.0%
